method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,0,0.9,4,6,6,211,,
clsQDEIM,0,0.9,4,6,6,211,,
clsSOPT,0,0.9,4,6,6,216,,
clsQDEIM,0,0.9,4,6,6,216,,
clsSOPT,0,0.9,4,6,6,221,,
clsQDEIM,0,0.9,4,6,6,221,,
clsSOPT,0,0.9,4,6,6,226,,
clsQDEIM,0,0.9,4,6,6,226,,
clsSOPT,0,0.9,4,6,6,231,,
clsQDEIM,0,0.9,4,6,6,231,,
clsSOPT,0,0.9,4,6,6,236,,
clsQDEIM,0,0.9,4,6,6,236,,
clsSOPT,0,0.9,4,6,6,241,,
clsQDEIM,0,0.9,4,6,6,241,,
clsSOPT,0,0.9,4,6,6,246,,
clsQDEIM,0,0.9,4,6,6,246,,
clsSOPT,0,0.9,4,6,6,251,,
clsQDEIM,0,0.9,4,6,6,251,,
clsSOPT,0,0.9,4,6,6,256,,
clsQDEIM,0,0.9,4,6,6,256,,
clsSOPT,1,0.99,9,11,11,16,,
clsQDEIM,1,0.99,9,11,11,16,,
clsSOPT,1,0.99,9,11,11,21,,
clsQDEIM,1,0.99,9,11,11,21,,
clsSOPT,1,0.99,9,11,11,26,,
clsQDEIM,1,0.99,9,11,11,26,,
clsSOPT,1,0.99,9,11,11,31,,
clsQDEIM,1,0.99,9,11,11,31,,
clsSOPT,1,0.99,9,11,11,36,,
clsQDEIM,1,0.99,9,11,11,36,,
clsSOPT,1,0.99,9,11,11,41,,
clsQDEIM,1,0.99,9,11,11,41,,
clsSOPT,1,0.99,9,11,11,46,,
clsQDEIM,1,0.99,9,11,11,46,,
clsSOPT,1,0.99,9,11,11,51,,
clsQDEIM,1,0.99,9,11,11,51,,
clsSOPT,1,0.99,9,11,11,56,,
clsQDEIM,1,0.99,9,11,11,56,,
clsSOPT,1,0.99,9,11,11,61,,
clsQDEIM,1,0.99,9,11,11,61,,
clsSOPT,1,0.99,9,11,11,66,,
clsQDEIM,1,0.99,9,11,11,66,,
clsSOPT,1,0.99,9,11,11,71,,
