method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
gappy-POD,1.0,0.9,1,2,3,940,1152,0.302556,6.51564e-05,0.0320562
QDEIM,1.0,0.9,1,2,3,940,1152,0.300527,6.51564e-05,0.0320562
EQP,1.0,0.9,1,2,2048,960,198,0.0250029,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,960,1152,0.300021,6.51602e-05,0.0320391
gappy-POD,1.0,0.9,1,2,3,960,1152,0.301083,6.51588e-05,0.0320785
QDEIM,1.0,0.9,1,2,3,960,1152,0.302361,6.51588e-05,0.0320785
EQP,1.0,0.9,1,2,2048,980,198,0.0250155,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,980,1152,0.301683,6.51602e-05,0.0319722
gappy-POD,1.0,0.9,1,2,3,980,1152,0.302807,6.51602e-05,0.0320856
QDEIM,1.0,0.9,1,2,3,980,1152,0.300765,6.51602e-05,0.0320856
EQP,1.0,0.9,1,2,2048,1000,198,0.0251554,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,1000,1152,0.301909,6.51617e-05,0.0320722
gappy-POD,1.0,0.9,1,2,3,1000,1152,0.307405,6.51584e-05,0.0320645
QDEIM,1.0,0.9,1,2,3,1000,1152,0.300396,6.51584e-05,0.0320645
EQP,1.0,0.9,1,2,2048,1020,198,0.024977,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,1020,1152,0.301663,6.51599e-05,0.0320616
gappy-POD,1.0,0.9,1,2,3,1020,1152,0.303603,6.51605e-05,0.0320971
QDEIM,1.0,0.9,1,2,3,1020,1152,0.307587,6.51605e-05,0.0320971
EQP,1.0,0.9,1,2,2048,1040,198,0.0251184,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,1040,1152,0.305541,6.51604e-05,0.0320606
gappy-POD,1.0,0.9,1,2,3,1040,1152,0.301702,6.51601e-05,0.0320894
QDEIM,1.0,0.9,1,2,3,1040,1152,0.304213,6.51601e-05,0.0320894
EQP,1.0,0.9,1,2,2048,1060,198,0.0254487,7.19825e-05,0.144835
SOPT,1.0,0.9,1,2,3,1060,1152,0.305702,6.51586e-05,0.0320274
gappy-POD,1.0,0.9,1,2,3,1060,1152,0.30502,6.51604e-05,0.0320896
QDEIM,1.0,0.9,1,2,3,1060,1152,0.300561,6.51604e-05,0.0320896
EQPGlobal,1.0,0.99,2,4,404,2048,363,0.0460119,0.000102599,0.137697
EQP,1.0,0.99,2,4,2048,20,20,0.00562903,0.00021429,0.275385
SOPT,1.0,0.99,2,4,6,20,225,0.0640541,0.00136717,0.208651
gappy-POD,1.0,0.99,2,4,6,20,135,0.0413082,0.00176252,0.261887
QDEIM,1.0,0.99,2,4,6,20,144,0.0434643,0.00176252,0.261887
EQP,1.0,0.99,2,4,2048,40,40,0.00935525,0.000204736,0.269804
SOPT,1.0,0.99,2,4,6,40,387,0.107404,0.000869749,0.0927468
gappy-POD,1.0,0.99,2,4,6,40,216,0.0620694,0.00171966,0.251849
QDEIM,1.0,0.99,2,4,6,40,270,0.0754075,0.00171966,0.251849
EQP,1.0,0.99,2,4,2048,60,60,0.0117473,0.00020102,0.255439
SOPT,1.0,0.99,2,4,6,60,540,0.144591,0.000497792,0.0688305
gappy-POD,1.0,0.99,2,4,6,60,315,0.087201,0.00158153,0.247896
