method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
QDEIM,1,0.99,9,11,11,31,0.7037097710000001,0.00301427234425545
clsQDEIM,1,0.99,9,11,11,31,0.735131727,0.002906190254677255
SOPT,1,0.99,9,11,11,32,0.686722658,0.002770780991446853
clsSOPT,1,0.99,9,11,11,32,0.68526295,0.00284804465425734
QDEIM,1,0.99,9,11,11,32,0.715665518,0.003014708080889509
clsQDEIM,1,0.99,9,11,11,32,0.7058272,0.002895107642287526
SOPT,1,0.99,9,11,11,33,0.704466088,0.002768225080099506
clsSOPT,1,0.99,9,11,11,33,0.691730604,0.002848044654257344
QDEIM,1,0.99,9,11,11,33,0.720907479,0.003015112697999978
clsQDEIM,1,0.99,9,11,11,33,0.760857832,0.00288008291741159
SOPT,1,0.99,9,11,11,34,0.7019356729999999,0.002769980726937936
clsSOPT,1,0.99,9,11,11,34,0.733434136,0.002848044654257352
QDEIM,1,0.99,9,11,11,34,0.7733122480000001,0.003015479918027862
clsQDEIM,1,0.99,9,11,11,34,0.7439313329999999,0.002831926187432166
SOPT,1,0.99,9,11,11,35,0.703194291,0.002770040059460976
clsSOPT,1,0.99,9,11,11,35,0.715883468,0.002848044654257334
QDEIM,1,0.99,9,11,11,35,0.772096348,0.003015810321392812
clsQDEIM,1,0.99,9,11,11,35,0.766975387,0.002827633845968379
SOPT,1,0.99,9,11,11,36,0.729018264,0.002767564681538257
clsSOPT,1,0.99,9,11,11,36,0.746836389,0.00284804465425735
QDEIM,1,0.99,9,11,11,36,0.783255972,0.003034157724948052
clsQDEIM,1,0.99,9,11,11,36,0.778435246,0.002813325114633538
SOPT,2,0.999,14,16,16,17,0.5253334999999999,0.0006762588691577917
clsSOPT,2,0.999,14,16,16,17,0.529241369,0.0009767957937500428
QDEIM,2,0.999,14,16,16,17,0.530755884,0.0004809567640915723
clsQDEIM,2,0.999,14,16,16,17,0.533510163,0.0005822312871577084
SOPT,2,0.999,14,16,16,18,0.5488160289999999,0.0004255338279389091
clsSOPT,2,0.999,14,16,16,18,0.540293266,0.001005552747715454
