method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,6,6,5,140,2.634173,2.478031,0.685398,1.87381e-05,0.00681446,0.0014231
qdeim,0.1,6,6,5,140,5.288818,5.848438,0.578329,1.98879e-05,0.0107753,0.00179837
gnat,0.1,6,6,5,140,2.591691,2.828595,0.720918,2.02397e-05,0.00959597,0.00185206
clssopt,0.1,6,6,5,150,1.409415,3.306375,0.937878,0.00127634,,
clsqdeim,0.1,6,6,5,150,4.126990,1117.126244,1.02277,0.000160996,0.300566,0.00744546
clsgnat,0.1,6,6,5,150,388025.054165,16905.531800,0.308318,0.00127634,,
sopt,0.1,6,6,5,150,6.770176,2.578753,0.720504,1.87204e-05,0.00690721,0.0014178
qdeim,0.1,6,6,5,150,4.480686,9.661691,0.578466,1.9883e-05,0.0107786,0.00179688
gnat,0.1,6,6,5,150,2.473068,2.819255,0.787735,1.99683e-05,0.00942437,0.0018242
clssopt,0.1,6,6,5,160,1.403268,1.993093,0.851986,0.00127634,,
clsqdeim,0.1,6,6,5,160,4.073028,4.533587,1.09063,8.41666e-05,0.178166,0.00573343
clsgnat,0.1,6,6,5,160,410149.422767,12870.100005,0.277171,0.00127634,,
sopt,0.1,6,6,5,160,2.410457,2.453118,0.751811,1.87456e-05,0.00714503,0.00138693
qdeim,0.1,6,6,5,160,4.034068,4.817636,0.568588,1.98777e-05,0.01078,0.00179577
gnat,0.1,6,6,5,160,2.657497,2.231479,0.770367,1.97563e-05,0.00929735,0.00180263
clssopt,0.1,6,6,5,170,1.795509,2.524257,0.97381,0.00127634,,
clsqdeim,0.1,6,6,5,170,4.342329,3.939637,1.12377,0.00012529,0.237613,0.00606418
clsgnat,0.1,6,6,5,170,433601.668758,13112.726561,0.380385,0.00127634,,
sopt,0.1,6,6,5,170,6.024625,2.436530,0.805714,1.88309e-05,0.00730704,0.00137702
qdeim,0.1,6,6,5,170,4.425982,5.850629,0.628331,1.99055e-05,0.0107691,0.00179528
gnat,0.1,6,6,5,170,2.695435,2.057710,0.810694,1.96156e-05,0.00916644,0.0017867
clssopt,0.1,6,6,5,180,2.254502,5.103544,1.25934,0.00127634,,
clsqdeim,0.1,6,6,5,180,4.580926,865.545976,1.2381,0.000318833,0.438566,0.00627022
clsgnat,0.1,6,6,5,180,455648.833749,13284.975198,0.292994,0.00127634,,
sopt,0.1,6,6,5,180,6.369668,2.361171,0.917328,1.87926e-05,0.00755267,0.00134168
qdeim,0.1,6,6,5,180,4.799994,11.014468,0.599672,1.98572e-05,0.0108189,0.00179284
gnat,0.1,6,6,5,180,2.508368,2.945994,0.871739,1.94204e-05,0.00912774,0.00178024
clssopt,0.1,6,6,5,190,3.980773,1.963041,1.34791,0.00127634,,
clsqdeim,0.1,6,6,5,190,4.467931,2.297558,1.27886,0.000317101,0.429324,0.00678719
clsgnat,0.1,6,6,5,190,458280.590053,12857.936912,0.291412,0.00127634,,
sopt,0.1,6,6,5,190,5.640579,2.456925,0.906807,1.81111e-05,0.00780041,0.00123985
qdeim,0.1,6,6,5,190,5.928990,5.518621,0.596172,1.97965e-05,0.0109238,0.001868
gnat,0.1,6,6,5,190,2.318724,2.047412,0.911546,1.92796e-05,0.00906364,0.0017752
clssopt,0.1,6,6,5,200,6.801800,1.780821,1.45686,0.00127634,,
clsqdeim,0.1,6,6,5,200,4.721280,1.896418,1.30276,0.000304604,0.404615,0.00702824
clsgnat,0.1,6,6,5,200,472419.644311,12152.035904,0.297798,0.00127634,,
sopt,0.1,6,6,5,200,5.583594,2.731773,0.922984,1.815e-05,0.00789764,0.00122745
qdeim,0.1,6,6,5,200,6.934521,6.078988,0.605368,1.98091e-05,0.0110202,0.00189236
gnat,0.1,6,6,5,200,2.165535,2.080164,0.91624,1.91984e-05,0.00903504,0.00177101
clssopt,0.1,6,9,9,10,3.170556,3.258540,,,,
