method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
gappy-POD,1.0,0.999,4,8,13,180,630,0.170738,0.000901106,0.130392
QDEIM,1.0,0.999,4,8,13,180,450,0.123896,0.000901106,0.130392
SOPT,1.0,0.999,4,8,13,200,1026,0.275927,0.000189309,0.0297969
gappy-POD,1.0,0.999,4,8,13,200,729,0.194671,0.000630453,0.0919845
QDEIM,1.0,0.999,4,8,13,200,513,0.14318,0.000630453,0.0919845
SOPT,1.0,0.999,4,8,13,220,1089,0.293248,0.000103507,0.0175966
gappy-POD,1.0,0.999,4,8,13,220,756,0.207152,0.000595908,0.0889934
QDEIM,1.0,0.999,4,8,13,220,558,0.15396,0.000595908,0.0889934
SOPT,1.0,0.999,4,8,13,240,1107,0.298963,8.16894e-05,0.016078
gappy-POD,1.0,0.999,4,8,13,240,819,0.222862,0.000470424,0.0705387
QDEIM,1.0,0.999,4,8,13,240,684,0.185501,0.000470424,0.0705387
SOPT,1.0,0.999,4,8,13,260,1134,0.310568,2.35787e-05,0.00417093
gappy-POD,1.0,0.999,4,8,13,260,864,0.23414,0.000380834,0.0585496
QDEIM,1.0,0.999,4,8,13,260,738,0.200468,0.000380834,0.0585496
SOPT,1.0,0.999,4,8,13,280,1134,0.303149,2.35781e-05,0.00417048
gappy-POD,1.0,0.999,4,8,13,280,927,0.247214,0.000295527,0.0464682
QDEIM,1.0,0.999,4,8,13,280,756,0.205918,0.000295527,0.0464682
SOPT,1.0,0.999,4,8,13,300,1152,0.310076,4.89274e-07,0.000375955
gappy-POD,1.0,0.999,4,8,13,300,1008,0.268303,0.000148464,0.028887
QDEIM,1.0,0.999,4,8,13,300,828,0.222603,0.000148464,0.028887
SOPT,1.0,0.999,4,8,13,320,1152,0.310429,4.89276e-07,0.000375952
gappy-POD,1.0,0.999,4,8,13,320,1071,0.287757,7.39044e-05,0.016542
QDEIM,1.0,0.999,4,8,13,320,900,0.242576,7.39044e-05,0.016542
SOPT,1.0,0.999,4,8,13,340,1152,0.306646,4.89277e-07,0.000375951
gappy-POD,1.0,0.999,4,8,13,340,1107,0.296197,3.73553e-05,0.00884397
QDEIM,1.0,0.999,4,8,13,340,936,0.25266,3.73553e-05,0.00884397
SOPT,1.0,0.999,4,8,13,360,1152,0.310307,4.89273e-07,0.000375946
gappy-POD,1.0,0.999,4,8,13,360,1116,0.298348,3.07525e-05,0.00748714
QDEIM,1.0,0.999,4,8,13,360,963,0.256917,3.07525e-05,0.00748714
SOPT,1.0,0.999,4,8,13,380,1152,0.326133,4.89271e-07,0.000375941
gappy-POD,1.0,0.999,4,8,13,380,1143,0.306467,8.10317e-06,0.00189553
QDEIM,1.0,0.999,4,8,13,380,1017,0.272,8.10317e-06,0.00189553
SOPT,1.0,0.999,4,8,13,400,1152,0.312312,4.88999e-07,0.000376222
gappy-POD,1.0,0.999,4,8,13,400,1152,0.314977,4.91729e-07,0.000377114
QDEIM,1.0,0.999,4,8,13,400,1035,0.276975,4.91729e-07,0.000377114
EQP,1.0,0.9999,5,15,831,1515,,0.132467,8.61921e-06,0.0323375
SOPT,1.0,0.9999,5,15,20,40,333,0.0942956,0.00116942,0.161179
gappy-POD,1.0,0.9999,5,15,20,40,225,0.0633522,0.00153393,0.234087
QDEIM,1.0,0.9999,5,15,20,40,234,0.0689483,0.00153393,0.234087
SOPT,1.0,0.9999,5,15,20,60,486,0.134019,0.000739762,0.0961283
gappy-POD,1.0,0.9999,5,15,20,60,288,0.0819984,0.00143074,0.207477
QDEIM,1.0,0.9999,5,15,20,60,288,0.0820821,0.00143074,0.207477
SOPT,1.0,0.9999,5,15,20,80,585,0.161472,0.000631106,0.0815937
