method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
QDEIM,1.0,0.99,2,4,6,900,1152,0.307306,7.88762e-06,0.00846841
SOPT,1.0,0.99,2,4,6,950,1152,0.308824,7.89056e-06,0.00850101
gappy-POD,1.0,0.99,2,4,6,950,1152,0.307395,7.88729e-06,0.00846875
QDEIM,1.0,0.99,2,4,6,950,1152,0.306636,7.88729e-06,0.00846875
SOPT,1.0,0.99,2,4,6,1000,1152,0.307083,7.88911e-06,0.00847008
gappy-POD,1.0,0.99,2,4,6,1000,1152,0.308225,7.88808e-06,0.00846546
QDEIM,1.0,0.99,2,4,6,1000,1152,0.306964,7.88808e-06,0.00846546
SOPT,1.0,0.99,2,4,6,1050,1152,0.30713,7.88655e-06,0.00848535
gappy-POD,1.0,0.99,2,4,6,1050,1152,0.306099,7.88813e-06,0.00846667
QDEIM,1.0,0.99,2,4,6,1050,1152,0.308449,7.88813e-06,0.00846667
SOPT,1.0,0.99,2,4,6,1100,1152,0.309369,7.88631e-06,0.00847722
gappy-POD,1.0,0.99,2,4,6,1100,1152,0.306887,7.88801e-06,0.00846879
QDEIM,1.0,0.99,2,4,6,1100,1152,0.309377,7.88801e-06,0.00846879
SOPT,1.0,0.99,2,4,6,1150,1152,0.304154,7.88804e-06,0.00847005
gappy-POD,1.0,0.99,2,4,6,1150,1152,0.310804,7.88806e-06,0.00846939
QDEIM,1.0,0.99,2,4,6,1150,1152,0.312942,7.88806e-06,0.00846939
EQP,1.0,0.999,4,8,653,808,,0.0867358,2.0997e-05,0.0948746
SOPT,1.0,0.999,4,8,13,50,414,0.115682,0.00106795,0.118845
gappy-POD,1.0,0.999,4,8,13,50,252,0.0720994,0.00150595,0.215462
QDEIM,1.0,0.999,4,8,13,50,270,0.0771046,0.00150595,0.215462
SOPT,1.0,0.999,4,8,13,100,756,0.20525,0.000402555,0.0576511
gappy-POD,1.0,0.999,4,8,13,100,405,0.113761,0.00135881,0.186529
QDEIM,1.0,0.999,4,8,13,100,324,0.0901425,0.00135881,0.186529
SOPT,1.0,0.999,4,8,13,150,918,0.246363,0.000262682,0.0354237
gappy-POD,1.0,0.999,4,8,13,150,558,0.152364,0.0010263,0.143147
QDEIM,1.0,0.999,4,8,13,150,396,0.109167,0.0010263,0.143147
SOPT,1.0,0.999,4,8,13,200,1026,0.27912,0.000189309,0.0297969
gappy-POD,1.0,0.999,4,8,13,200,729,0.197464,0.000630453,0.0919845
QDEIM,1.0,0.999,4,8,13,200,513,0.143078,0.000630453,0.0919845
SOPT,1.0,0.999,4,8,13,250,1116,0.297377,7.04636e-05,0.0128026
gappy-POD,1.0,0.999,4,8,13,250,837,0.22353,0.000451971,0.0688334
QDEIM,1.0,0.999,4,8,13,250,711,0.193695,0.000451971,0.0688334
SOPT,1.0,0.999,4,8,13,300,1152,0.308154,4.89274e-07,0.000375955
gappy-POD,1.0,0.999,4,8,13,300,1008,0.268099,0.000148464,0.028887
QDEIM,1.0,0.999,4,8,13,300,828,0.219935,0.000148464,0.028887
SOPT,1.0,0.999,4,8,13,350,1152,0.31136,4.89272e-07,0.000375895
gappy-POD,1.0,0.999,4,8,13,350,1107,0.297737,3.73547e-05,0.00885095
QDEIM,1.0,0.999,4,8,13,350,945,0.254471,3.73547e-05,0.00885095
SOPT,1.0,0.999,4,8,13,400,1152,0.311397,4.88999e-07,0.000376222
gappy-POD,1.0,0.999,4,8,13,400,1152,0.31164,4.91729e-07,0.000377114
QDEIM,1.0,0.999,4,8,13,400,1035,0.277015,4.91729e-07,0.000377114
SOPT,1.0,0.999,4,8,13,450,1152,0.30734,4.88955e-07,0.000375919
gappy-POD,1.0,0.999,4,8,13,450,1152,0.308376,4.91564e-07,0.000377146
QDEIM,1.0,0.999,4,8,13,450,1116,0.298945,4.91564e-07,0.000377146
SOPT,1.0,0.999,4,8,13,500,1152,0.308182,4.88789e-07,0.000375997
gappy-POD,1.0,0.999,4,8,13,500,1152,0.309723,4.91661e-07,0.00037696
QDEIM,1.0,0.999,4,8,13,500,1152,0.309232,4.91661e-07,0.00037696
SOPT,1.0,0.999,4,8,13,550,1152,0.31039,4.88768e-07,0.000377036
gappy-POD,1.0,0.999,4,8,13,550,1152,0.312719,4.91705e-07,0.0003771
QDEIM,1.0,0.999,4,8,13,550,1152,0.313777,4.91705e-07,0.0003771
SOPT,1.0,0.999,4,8,13,600,1152,0.307211,4.90219e-07,0.00037611
gappy-POD,1.0,0.999,4,8,13,600,1152,0.312326,4.91659e-07,0.000377126
QDEIM,1.0,0.999,4,8,13,600,1152,0.313811,4.91659e-07,0.000377126
SOPT,1.0,0.999,4,8,13,650,1152,0.31388,4.89701e-07,0.000375511
gappy-POD,1.0,0.999,4,8,13,650,1152,0.311515,4.91532e-07,0.000376825
QDEIM,1.0,0.999,4,8,13,650,1152,0.315603,4.91532e-07,0.000376825
SOPT,1.0,0.999,4,8,13,700,1152,0.313302,4.89898e-07,0.000374937
gappy-POD,1.0,0.999,4,8,13,700,1152,0.314498,4.91373e-07,0.000376731
QDEIM,1.0,0.999,4,8,13,700,1152,0.311228,4.91373e-07,0.000376731
SOPT,1.0,0.999,4,8,13,750,1152,0.310219,4.90109e-07,0.000376064
gappy-POD,1.0,0.999,4,8,13,750,1152,0.312119,4.91403e-07,0.000377112
QDEIM,1.0,0.999,4,8,13,750,1152,0.316866,4.91403e-07,0.000377112
SOPT,1.0,0.999,4,8,13,800,1152,0.307042,4.90452e-07,0.000375646
gappy-POD,1.0,0.999,4,8,13,800,1152,0.311375,4.91478e-07,0.000377189
QDEIM,1.0,0.999,4,8,13,800,1152,0.310493,4.91478e-07,0.000377189
SOPT,1.0,0.999,4,8,13,850,1152,0.3105,4.90684e-07,0.000377557
gappy-POD,1.0,0.999,4,8,13,850,1152,0.31416,4.91323e-07,0.000377104
QDEIM,1.0,0.999,4,8,13,850,1152,0.314558,4.91323e-07,0.000377104
SOPT,1.0,0.999,4,8,13,900,1152,0.315622,4.91214e-07,0.000378126
gappy-POD,1.0,0.999,4,8,13,900,1152,0.319586,4.91302e-07,0.000377193
QDEIM,1.0,0.999,4,8,13,900,1152,0.311868,4.91302e-07,0.000377193
SOPT,1.0,0.999,4,8,13,950,1152,0.30913,4.91458e-07,0.000375327
gappy-POD,1.0,0.999,4,8,13,950,1152,0.313077,4.91284e-07,0.00037733
QDEIM,1.0,0.999,4,8,13,950,1152,0.311951,4.91284e-07,0.00037733
SOPT,1.0,0.999,4,8,13,1000,1152,0.311478,4.90917e-07,0.000375949
gappy-POD,1.0,0.999,4,8,13,1000,1152,0.314296,4.91405e-07,0.000377633
QDEIM,1.0,0.999,4,8,13,1000,1152,0.313583,4.91405e-07,0.000377633
SOPT,1.0,0.999,4,8,13,1050,1152,0.314366,4.91054e-07,0.00037652
gappy-POD,1.0,0.999,4,8,13,1050,1152,0.313006,4.91443e-07,0.000377719
QDEIM,1.0,0.999,4,8,13,1050,1152,0.312035,4.91443e-07,0.000377719
SOPT,1.0,0.999,4,8,13,1100,1152,0.312019,4.91088e-07,0.000377004
gappy-POD,1.0,0.999,4,8,13,1100,1152,0.314606,4.91377e-07,0.000377612
QDEIM,1.0,0.999,4,8,13,1100,1152,0.320064,4.91377e-07,0.000377612
SOPT,1.0,0.999,4,8,13,1150,1152,0.316692,4.9106e-07,0.000377107
gappy-POD,1.0,0.999,4,8,13,1150,1152,0.31323,4.91357e-07,0.000377578
QDEIM,1.0,0.999,4,8,13,1150,1152,0.315033,4.91357e-07,0.000377578
EQP,1.0,0.9999,5,15,831,1515,,0.128502,8.61921e-06,0.0323375
SOPT,1.0,0.9999,5,15,20,50,405,0.112289,0.000922788,0.124538
gappy-POD,1.0,0.9999,5,15,20,50,270,0.0761264,0.00144288,0.214181
QDEIM,1.0,0.9999,5,15,20,50,252,0.0716412,0.00144288,0.214181
SOPT,1.0,0.9999,5,15,20,100,639,0.172475,0.000578339,0.0786709
gappy-POD,1.0,0.9999,5,15,20,100,414,0.114161,0.00110857,0.146651
QDEIM,1.0,0.9999,5,15,20,100,333,0.0933773,0.00110857,0.146651
SOPT,1.0,0.9999,5,15,20,150,738,0.199004,0.000486379,0.0661726
gappy-POD,1.0,0.9999,5,15,20,150,504,0.140112,0.000994052,0.135017
QDEIM,1.0,0.9999,5,15,20,150,405,0.113147,0.000994052,0.135017
SOPT,1.0,0.9999,5,15,20,200,801,0.216125,0.000390659,0.0488346
gappy-POD,1.0,0.9999,5,15,20,200,693,0.187857,0.000538809,0.0717357
QDEIM,1.0,0.9999,5,15,20,200,540,0.147934,0.000538809,0.0717357
SOPT,1.0,0.9999,5,15,20,250,954,0.260721,0.000126077,0.0141726
