method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,3,0.9999,4,14,25,90,3.782417,2.576933,9.07978,0.00510575,0.166351,8.1857e-05
clssopt,0.1,3,0.9999,4,14,25,90,3.205331,2.492261,8.98156,0.00510638,0.16635,8.15008e-05
sopt,0.1,3,0.9999,4,14,25,95,3.941565,2.752743,9.24876,0.00510569,0.166352,8.18507e-05
clssopt,0.1,3,0.9999,4,14,25,95,2.961534,2.460052,9.26281,0.00510627,0.16635,8.14723e-05
sopt,0.1,3,0.9999,4,14,25,100,3.378459,2.681302,10.1189,0.0051057,0.166354,8.18497e-05
clssopt,0.1,3,0.9999,4,14,25,100,3.927111,2.433718,9.63489,0.00510619,0.166349,8.14686e-05
sopt,0.1,3,0.9999,4,14,25,105,3.536456,2.731049,10.1945,0.0051057,0.166355,8.1754e-05
clssopt,0.1,3,0.9999,4,14,25,105,2.947742,2.637769,10.0235,0.00510604,0.166349,8.14675e-05
sopt,0.1,3,0.9999,4,14,25,110,3.615201,2.943945,10.6178,0.00510564,0.166355,8.17541e-05
clssopt,0.1,3,0.9999,4,14,25,110,3.167230,2.442761,10.3504,0.00510601,0.166348,8.14667e-05
sopt,0.1,3,0.9999,4,14,25,115,2.996614,2.365013,10.6152,0.00510554,0.166354,8.16681e-05
clssopt,0.1,3,0.9999,4,14,25,115,2.908662,2.135740,10.6301,0.00510593,0.166347,8.14565e-05
sopt,0.1,3,0.9999,4,14,25,120,3.358629,2.474225,11.0558,0.00510557,0.166354,8.1713e-05
clssopt,0.1,3,0.9999,4,14,25,120,2.823615,2.028322,10.781,0.00510593,0.166348,8.14734e-05
sopt,0.1,4,0.99999,4,21,32,5,18.743224,15.748296,3.5123,0.00510518,0.166385,8.13173e-05
clssopt,0.1,4,0.99999,4,21,32,5,23.852036,10.716102,4.06106,0.00510533,0.166375,8.13468e-05
sopt,0.1,4,0.99999,4,21,32,10,14.694910,6.694281,4.04494,0.00510532,0.166385,8.13151e-05
clssopt,0.1,4,0.99999,4,21,32,10,11.282287,10.981596,4.54337,0.00510572,0.166381,8.13356e-05
sopt,0.1,4,0.99999,4,21,32,15,14.461942,6.236488,4.57773,0.00510549,0.166388,8.13141e-05
clssopt,0.1,4,0.99999,4,21,32,15,10.891027,6.019524,4.7681,0.0051055,0.166381,8.13325e-05
sopt,0.1,4,0.99999,4,21,32,20,11.343470,6.623532,4.81065,0.00510544,0.166386,8.12995e-05
clssopt,0.1,4,0.99999,4,21,32,20,7.825142,5.191124,4.97716,0.00510557,0.16638,8.1329e-05
sopt,0.1,4,0.99999,4,21,32,25,8.298656,4.248610,5.23955,0.00510576,0.166385,8.12975e-05
clssopt,0.1,4,0.99999,4,21,32,25,7.001268,3.693545,5.44936,0.00510565,0.166381,8.13237e-05
sopt,0.1,4,0.99999,4,21,32,30,8.416683,4.992433,5.62007,0.00510597,0.166385,8.13096e-05
clssopt,0.1,4,0.99999,4,21,32,30,6.603416,4.886349,5.95114,0.00510567,0.166381,8.1325e-05
sopt,0.1,4,0.99999,4,21,32,35,6.870067,3.892477,6.02456,0.00510601,0.166384,8.13113e-05
clssopt,0.1,4,0.99999,4,21,32,35,5.665982,3.495806,6.54487,0.00510553,0.166383,8.13232e-05
sopt,0.1,4,0.99999,4,21,32,40,6.749155,3.937058,6.39173,0.00510573,0.166383,8.13074e-05
clssopt,0.1,4,0.99999,4,21,32,40,5.313278,3.999883,6.56983,0.0051055,0.166382,8.1319e-05
sopt,0.1,4,0.99999,4,21,32,45,6.154085,4.004244,6.67377,0.00510572,0.166384,8.13147e-05
clssopt,0.1,4,0.99999,4,21,32,45,5.127622,3.572392,7.02469,0.00510556,0.166381,8.13177e-05
sopt,0.1,4,0.99999,4,21,32,50,4.780277,3.385764,7.04077,0.00510565,0.166384,8.13126e-05
clssopt,0.1,4,0.99999,4,21,32,50,5.631214,3.457326,7.29974,0.00510557,0.16638,8.13188e-05
sopt,0.1,4,0.99999,4,21,32,55,5.051266,3.734542,7.23201,0.00510582,0.166385,8.13125e-05
clssopt,0.1,4,0.99999,4,21,32,55,4.159045,3.355120,8.02175,0.00510568,0.166382,8.13266e-05
sopt,0.1,4,0.99999,4,21,32,60,4.614285,3.327466,7.93339,0.00510596,0.166385,8.13123e-05
