window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.2,5,216,6,35.8697,2.19e+01,0.000391614,0.000521472,1.12936e-07
clssopt,0.2,5,216,6,38.9298,2.16e+01,0.000391615,0.00052154,1.12631e-07
qdeim,0.2,5,216,6,35.8892,2.22e+01,3.62863e-09,6.50541e-07,3.72197e-08
clsqdeim,0.2,5,216,6,37.2828,2.17e+01,5.52729e-06,0.00740233,0.00262423
sopt,0.2,5,216,7,40.4177,2.12e+01,0.000391614,0.000521474,1.12941e-07
clssopt,0.2,5,216,7,35.9468,2.00e+01,0.000391615,0.000521578,1.13435e-07
qdeim,0.2,5,216,7,36.8761,2.23e+01,3.31596e-09,6.40871e-07,3.70425e-08
clsqdeim,0.2,5,216,7,36.9118,2.30e+01,1.1131e-05,0.00755519,0.0026293
sopt,0.2,5,216,8,31.1143,1.90e+01,0.000391614,0.000521477,1.12944e-07
clssopt,0.2,5,216,8,39.2443,2.11e+01,0.000391615,0.000521599,1.13321e-07
qdeim,0.2,5,216,8,33.8989,2.18e+01,3.1858e-09,6.366e-07,3.7577e-08
clsqdeim,0.2,5,216,8,33.9984,2.08e+01,8.01593e-06,0.00723896,0.00269371
sopt,0.2,5,216,9,38.3121,2.16e+01,0.000391613,0.000521472,1.12948e-07
clssopt,0.2,5,216,9,38.0194,2.13e+01,2.77027e-09,1.91011e-07,2.22332e-09
qdeim,0.2,5,216,9,35.4967,2.06e+01,3.08301e-09,6.38585e-07,3.56758e-08
clsqdeim,0.2,5,216,9,35.9714,2.86e+01,4.18373e-06,0.00705625,0.00274309
sopt,0.2,5,216,10,39.7453,2.12e+01,0.000391613,0.000521469,1.12954e-07
clssopt,0.2,5,216,10,41.7589,2.16e+01,0.000391615,0.000521581,1.13462e-07
qdeim,0.2,5,216,10,39.1282,2.09e+01,3.01525e-09,6.39249e-07,3.52546e-08
clsqdeim,0.2,5,216,10,40.9767,2.11e+01,5.11933e-06,0.0070323,0.00269793
sopt,0.2,10,130,1,20.2593,1.59e+01,0.000652694,0.000794551,1.0266e-07
clssopt,0.2,10,130,1,20.259,1.52e+01,0.000652691,0.000794486,1.02498e-07
qdeim,0.2,10,130,1,20.2359,1.58e+01,8.49271e-09,1.11309e-06,3.79661e-08
clsqdeim,0.2,10,130,1,21.1736,1.74e+01,0.000626541,0.00180093,7.59199e-05
sopt,0.2,10,130,2,21.5172,1.55e+01,4.62123e-09,1.38589e-07,1.002e-08
clssopt,0.2,10,130,2,20.8648,1.53e+01,0.00065269,0.000794483,1.02522e-07
qdeim,0.2,10,130,2,21.4091,1.57e+01,8.11186e-09,9.76292e-07,3.73418e-08
clsqdeim,0.2,10,130,2,21.5968,1.48e+01,2.11473e-05,0.0142822,0.00187966
sopt,0.2,10,130,3,20.2271,1.55e+01,3.51818e-09,3.50084e-07,1.49582e-08
clssopt,0.2,10,130,3,23.032,1.53e+01,0.00065269,0.000794503,1.02312e-07
qdeim,0.2,10,130,3,21.9187,1.48e+01,8.06772e-09,1.00233e-06,3.32449e-08
clsqdeim,0.2,10,130,3,20.2675,1.52e+01,0.000632433,0.00165887,7.66955e-05
sopt,0.2,10,130,4,21.8287,1.51e+01,2.55808e-09,4.82007e-07,1.62223e-08
clssopt,0.2,10,130,4,25.5406,1.52e+01,0.00065269,0.000794523,1.02168e-07
qdeim,0.2,10,130,4,21.0185,1.78e+01,7.34531e-09,1.00632e-06,3.36591e-08
clsqdeim,0.2,10,130,4,19.7473,1.53e+01,0.00063633,0.00164241,7.4778e-05
sopt,0.2,10,130,5,21.6345,1.51e+01,2.86912e-09,5.52651e-07,1.22072e-08
clssopt,0.2,10,130,5,21.8399,1.51e+01,0.000652689,0.000794489,1.02131e-07
qdeim,0.2,10,130,5,19.7805,1.54e+01,5.99504e-09,9.63799e-07,3.1093e-08
clsqdeim,0.2,10,130,5,18.8452,1.50e+01,0.000631343,0.00174883,7.41641e-05
sopt,0.2,10,130,6,21.5411,1.50e+01,2.42863e-09,5.72611e-07,1.57428e-08
clssopt,0.2,10,130,6,24.0405,1.55e+01,0.000652689,0.000794468,1.02183e-07
qdeim,0.2,10,130,6,19.395,1.50e+01,4.91945e-09,9.44098e-07,3.51964e-08
clsqdeim,0.2,10,130,6,21.1834,1.49e+01,0.000632736,0.0016104,7.30824e-05
sopt,0.2,10,130,7,24.0777,1.50e+01,1.87979e-09,5.78778e-07,1.44444e-08
clssopt,0.2,10,130,7,23.7316,1.49e+01,0.00065269,0.000794467,1.02175e-07
qdeim,0.2,10,130,7,20.3498,1.55e+01,4.19772e-09,9.18715e-07,3.48346e-08
clsqdeim,0.2,10,130,7,23.9313,1.51e+01,0.000635235,0.00166974,7.48075e-05
sopt,0.2,10,130,8,25.4792,1.48e+01,1.86775e-09,5.80655e-07,1.54533e-08
clssopt,0.2,10,130,8,27.2117,1.54e+01,0.00065269,0.000794464,1.02156e-07
qdeim,0.2,10,130,8,22.9541,1.52e+01,3.69649e-09,9.36891e-07,3.38884e-08
clsqdeim,0.2,10,130,8,24.3088,1.53e+01,0.000633098,0.0017411,7.43428e-05
sopt,0.2,10,130,9,23.8343,1.47e+01,1.7934e-09,5.93992e-07,1.61676e-08
clssopt,0.2,10,130,9,24.8218,1.42e+01,1.7031e-09,6.86366e-07,1.07557e-08
qdeim,0.2,10,130,9,20.5242,1.49e+01,3.19664e-09,9.55902e-07,3.46614e-08
clsqdeim,0.2,10,130,9,21.2314,1.43e+01,0.000637166,0.001577,7.2715e-05
sopt,0.2,10,130,10,22.7004,1.51e+01,1.85415e-09,5.7551e-07,1.63361e-08
clssopt,0.2,10,130,10,26.7295,1.48e+01,0.000652691,0.000794636,1.02025e-07
qdeim,0.2,10,130,10,22.7394,1.54e+01,2.85504e-09,8.71453e-07,3.65255e-08
clsqdeim,0.2,10,130,10,23.8465,1.48e+01,0.000638843,0.0015506,7.21494e-05
sopt,0.2,15,81,1,11.7674,1.19e+01,5.67325e-09,2.4226e-06,5.06594e-08
clssopt,0.2,15,81,1,10.9082,1.10e+01,1.19764e-08,5.28618e-07,4.02327e-08
qdeim,0.2,15,81,1,11.8583,1.19e+01,2.74159e-08,5.13491e-07,1.14863e-07
clsqdeim,0.2,15,81,1,13.393,1.19e+01,0.000879676,0.712834,0.0475998
sopt,0.2,15,81,2,13.2785,1.17e+01,5.60907e-09,2.42776e-06,5.53841e-08
clssopt,0.2,15,81,2,16.3549,1.13e+01,8.74286e-09,5.12871e-07,2.77204e-08
qdeim,0.2,15,81,2,13.3419,1.16e+01,2.5485e-08,8.05484e-07,1.07945e-07
clsqdeim,0.2,15,81,2,13.8718,1.15e+01,0.00105093,0.723802,0.0477822
sopt,0.2,15,81,3,13.7343,1.21e+01,5.71122e-09,2.31566e-06,5.96814e-08
clssopt,0.2,15,81,3,14.0105,1.22e+01,7.01307e-09,8.17539e-07,3.96507e-08
qdeim,0.2,15,81,3,11.406,1.10e+01,2.41909e-08,1.14483e-06,1.00031e-07
clsqdeim,0.2,15,81,3,13.423,1.17e+01,0.000914099,0.696578,0.0325575
sopt,0.2,15,81,4,15.0042,1.18e+01,7.07368e-09,2.41137e-06,5.46251e-08
clssopt,0.2,15,81,4,14.1951,1.17e+01,8.06054e-09,6.63352e-07,3.71171e-08
qdeim,0.2,15,81,4,13.7693,1.16e+01,2.27204e-08,1.09906e-06,9.45223e-08
clsqdeim,0.2,15,81,4,14.973,1.81e+01,0.000916607,0.700936,0.0325743
sopt,0.2,15,81,5,13.69,1.10e+01,7.10473e-09,2.35611e-06,5.38437e-08
clssopt,0.2,15,81,5,14.2088,1.17e+01,1.02217e-08,2.71865e-07,5.71435e-08
qdeim,0.2,15,81,5,13.369,1.16e+01,2.29291e-08,9.37723e-07,9.57487e-08
clsqdeim,0.2,15,81,5,13.5009,1.18e+01,0.000957222,0.739255,0.0317819
sopt,0.2,15,81,6,15.0005,1.19e+01,6.19625e-09,2.23656e-06,4.86055e-08
clssopt,0.2,15,81,6,15.0372,1.13e+01,9.73205e-09,2.20498e-07,5.51278e-08
qdeim,0.2,15,81,6,12.9744,1.17e+01,2.15762e-08,7.20036e-07,8.47033e-08
clsqdeim,0.2,15,81,6,15.5305,1.17e+01,0.00107553,0.725346,0.047734
sopt,0.2,15,81,7,14.8036,1.17e+01,6.23005e-09,2.30946e-06,5.09609e-08
clssopt,0.2,15,81,7,20.5264,1.25e+01,8.447e-09,1.97688e-07,5.36154e-08
qdeim,0.2,15,81,7,14.4769,1.13e+01,2.16337e-08,6.18855e-07,8.28559e-08
clsqdeim,0.2,15,81,7,15.1818,1.19e+01,0.000975582,0.71547,0.0475164
sopt,0.2,15,81,8,13.2681,1.11e+01,6.62522e-09,2.34526e-06,5.29672e-08
clssopt,0.2,15,81,8,19.1811,1.19e+01,7.6753e-09,2.4799e-07,5.42003e-08
qdeim,0.2,15,81,8,17.0044,1.18e+01,2.02015e-08,6.04643e-07,7.37343e-08
clsqdeim,0.2,15,81,8,18.1609,1.13e+01,0.000998402,0.713871,0.0474939
sopt,0.2,15,81,9,17.1999,1.21e+01,7.91128e-09,2.41611e-06,5.8376e-08
clssopt,0.2,15,81,9,19.1869,1.19e+01,8.25747e-09,1.89938e-07,6.14868e-08
qdeim,0.2,15,81,9,14.8956,1.18e+01,2.02837e-08,5.6607e-07,7.21614e-08
clsqdeim,0.2,15,81,9,15.6058,1.18e+01,0.000792362,0.729462,0.0313271
sopt,0.2,15,81,10,16.9604,1.16e+01,7.32525e-09,2.42163e-06,5.53169e-08
clssopt,0.2,15,81,10,17.1571,1.15e+01,8.57619e-09,2.02397e-07,6.12428e-08
qdeim,0.2,15,81,10,13.8258,1.08e+01,2.01582e-08,6.2276e-07,7.43135e-08
clsqdeim,0.2,15,81,10,15.9536,1.18e+01,0.00100751,0.714246,0.0474968
sopt,0.2,20,65,1,10.264,1.08e+01,2.78569e-08,1.92368e-06,1.51169e-07
clssopt,0.2,20,65,1,12.0446,1.01e+01,7.06148e-08,8.64437e-06,3.25867e-07
qdeim,0.2,20,65,1,10.3351,1.07e+01,1.76075e-08,1.03758e-06,8.20247e-08
clsqdeim,0.2,20,65,1,,1.89e+00,0.146859,3.23723e+23,3.23906e+23
sopt,0.2,20,65,2,10.6388,1.08e+01,3.02029e-08,3.22481e-06,1.63541e-07
clssopt,0.2,20,65,2,11.9652,1.05e+01,8.9948e-08,1.18721e-05,1.95321e-07
qdeim,0.2,20,65,2,10.519,1.03e+01,2.41059e-08,2.17162e-06,5.56112e-08
clsqdeim,0.2,20,65,2,12.8185,1.06e+01,0.0137843,4.34637,0.250639
sopt,0.2,20,65,3,11.4049,1.03e+01,1.74714e-08,2.64935e-06,9.91586e-08
clssopt,0.2,20,65,3,11.1181,1.05e+01,1.04053e-07,1.11758e-05,1.58277e-07
qdeim,0.2,20,65,3,11.859,1.03e+01,1.97869e-08,1.23828e-06,8.63363e-08
clsqdeim,0.2,20,65,3,13.7477,1.09e+01,0.0057619,1.51051,0.180922
sopt,0.2,20,65,4,11.5448,1.08e+01,1.67494e-08,2.15972e-06,9.96781e-08
clssopt,0.2,20,65,4,12.2551,1.02e+01,9.09625e-08,1.17528e-05,2.29657e-07
qdeim,0.2,20,65,4,11.2942,1.07e+01,2.09165e-08,1.50108e-06,8.14133e-08
clsqdeim,0.2,20,65,4,13.2493,1.07e+01,0.0435429,69.3299,9.76315
sopt,0.2,20,65,5,,1.01e+01,1.70951e-08,2.02433e-06,1.10038e-07
clssopt,0.2,20,65,5,13.467,1.07e+01,9.06427e-08,1.31372e-05,1.97073e-07
qdeim,0.2,20,65,5,11.2297,1.08e+01,2.16533e-08,6.48825e-07,8.88428e-08
clsqdeim,0.2,20,65,5,,2.49e+00,0.179848,7.7771e+23,8.55019e+21
sopt,0.2,20,65,6,10.5622,1.03e+01,2.02719e-08,1.84989e-06,1.24808e-07
clssopt,0.2,20,65,6,14.5235,1.07e+01,8.435e-08,1.07031e-05,2.40109e-07
qdeim,0.2,20,65,6,13.1375,1.07e+01,2.16576e-08,3.51608e-07,9.87063e-08
clsqdeim,0.2,20,65,6,,2.10e+00,0.0934862,4.40491e+25,1.41281e+23
sopt,0.2,20,65,7,12.71,1.04e+01,2.23942e-08,1.48779e-06,1.31017e-07
clssopt,0.2,20,65,7,14.9085,1.08e+01,8.12149e-08,1.08162e-05,2.22631e-07
qdeim,0.2,20,65,7,13.3807,1.08e+01,2.18343e-08,6.94779e-07,1.14674e-07
clsqdeim,0.2,20,65,7,,1.95e+00,0.0531764,,223.073
sopt,0.2,20,65,8,18.1225,1.09e+01,2.34627e-08,1.45137e-06,1.35664e-07
clssopt,0.2,20,65,8,16.6189,1.12e+01,6.88909e-08,9.72331e-06,1.48072e-07
qdeim,0.2,20,65,8,13.9881,1.07e+01,2.24173e-08,1.06237e-06,1.14346e-07
clsqdeim,0.2,20,65,8,,1.99e+00,0.0734858,3.56267e+23,9.86013e+22
sopt,0.2,20,65,9,16.9626,1.13e+01,2.08243e-08,1.35611e-06,1.28944e-07
clssopt,0.2,20,65,9,13.1192,1.06e+01,7.36307e-08,9.6945e-06,1.40882e-07
qdeim,0.2,20,65,9,11.129,1.04e+01,2.24764e-08,1.55339e-06,1.14357e-07
clsqdeim,0.2,20,65,9,,2.29e+00,0.185388,5.97378e+19,5.53335e+17
sopt,0.2,20,65,10,13.6385,1.05e+01,2.08666e-08,1.23231e-06,1.27505e-07
clssopt,0.2,20,65,10,15.8295,1.08e+01,6.76448e-08,9.57223e-06,1.42637e-07
qdeim,0.2,20,65,10,13.469,1.08e+01,2.30468e-08,1.89223e-06,1.22051e-07
clsqdeim,0.2,20,65,10,13.922,1.04e+01,0.0206339,2.51492,0.248898
sopt,0.2,25,50,1,7.38769,9.06e+00,4.11329e-08,2.69719e-06,9.23541e-08
clssopt,0.2,25,50,1,8.10511,9.33e+00,1.48943e-08,2.15764e-06,1.25449e-07
qdeim,0.2,25,50,1,8.20209,9.52e+00,1.90725e-08,2.454e-06,4.02522e-08
clsqdeim,0.2,25,50,1,,1.58e+00,0.130815,5.07773e+12,2.80032e+23
sopt,0.2,25,50,2,8.77485,9.77e+00,5.82278e-08,1.31462e-06,1.03971e-07
clssopt,0.2,25,50,2,10.2554,9.74e+00,9.96292e-09,1.18116e-06,5.18811e-08
qdeim,0.2,25,50,2,8.46615,1.02e+01,1.93083e-08,1.59139e-06,3.97804e-08
clsqdeim,0.2,25,50,2,,1.66e+00,0.13572,4.84696e+12,2.51358e+23
sopt,0.2,25,50,3,9.5259,9.88e+00,6.63125e-08,1.10153e-06,1.14471e-07
clssopt,0.2,25,50,3,10.3346,9.75e+00,8.61342e-09,7.33122e-07,5.71511e-08
qdeim,0.2,25,50,3,9.22094,9.73e+00,1.81019e-08,1.37395e-06,4.66597e-08
clsqdeim,0.2,25,50,3,,1.60e+00,0.135275,4.81789e+12,2.48875e+23
sopt,0.2,25,50,4,9.22473,9.69e+00,4.84587e-08,6.15959e-07,8.02745e-08
clssopt,0.2,25,50,4,11.3864,9.81e+00,4.51769e-08,1.72314e-06,8.12755e-08
qdeim,0.2,25,50,4,9.19204,9.80e+00,1.73891e-08,1.44642e-06,4.92155e-08
clsqdeim,0.2,25,50,4,,1.66e+00,0.129199,4.54585e+12,2.24248e+23
sopt,0.2,25,50,5,9.45067,9.55e+00,5.39327e-08,9.8941e-07,8.1796e-08
clssopt,0.2,25,50,5,11.2818,9.91e+00,3.48154e-08,1.31549e-06,6.53248e-08
qdeim,0.2,25,50,5,10.2805,9.91e+00,1.68523e-08,1.38216e-06,5.09266e-08
clsqdeim,0.2,25,50,5,,1.67e+00,0.129384,4.99463e+12,2.71799e+23
sopt,0.2,25,50,6,10.3348,9.68e+00,4.5793e-08,1.20882e-06,7.82186e-08
clssopt,0.2,25,50,6,11.7527,9.73e+00,1.58691e-08,7.64662e-07,6.01178e-08
qdeim,0.2,25,50,6,10.4752,9.73e+00,1.39201e-08,1.23659e-06,5.37052e-08
clsqdeim,0.2,25,50,6,,1.64e+00,0.127827,4.48769e+12,2.18707e+23
sopt,0.2,25,50,7,10.5518,9.54e+00,4.82359e-08,9.47239e-07,7.20892e-08
clssopt,0.2,25,50,7,11.8547,9.84e+00,1.20888e-08,4.50549e-07,8.57161e-08
qdeim,0.2,25,50,7,9.8706,9.72e+00,1.6986e-08,1.19425e-06,5.16432e-08
clsqdeim,0.2,25,50,7,,1.64e+00,0.128146,4.87649e+12,2.59199e+23
sopt,0.2,25,50,8,11.6169,9.83e+00,4.19131e-08,6.79842e-07,4.72264e-08
clssopt,0.2,25,50,8,11.6207,9.48e+00,5.19611e-09,5.58271e-07,7.59659e-08
qdeim,0.2,25,50,8,11.2387,9.91e+00,2.17759e-08,1.25673e-06,4.74542e-08
clsqdeim,0.2,25,50,8,,1.61e+00,0.129385,4.96129e+12,2.6877e+23
sopt,0.2,25,50,9,12.1828,9.70e+00,4.10666e-08,7.61201e-07,4.40009e-08
clssopt,0.2,25,50,9,12.52,9.72e+00,2.00952e-09,3.35732e-07,6.17724e-08
qdeim,0.2,25,50,9,11.5281,3.93e+01,2.36806e-08,1.27981e-06,4.46803e-08
clsqdeim,0.2,25,50,9,,1.51e+00,0.129401,4.65351e+12,2.35119e+23
sopt,0.2,25,50,10,12.3518,9.85e+00,3.83493e-08,7.89061e-07,4.54226e-08
clssopt,0.2,25,50,10,12.0153,9.26e+00,3.19844e-09,7.99858e-07,5.65744e-08
qdeim,0.2,25,50,10,11.6079,9.87e+00,2.36554e-08,1.2628e-06,4.1763e-08
clsqdeim,0.2,25,50,10,,1.20e+00,0.126606,4.66838e+12,2.37811e+23
sopt,0.2,30,44,1,9.34976,9.45e+00,5.42205e-08,4.25097e-06,2.91183e-07
clssopt,0.2,30,44,1,9.97296,9.74e+00,5.81094e-08,4.7763e-06,2.81333e-07
qdeim,0.2,30,44,1,7.41267,9.03e+00,1.96911e-08,2.68984e-06,3.40746e-07
clsqdeim,0.2,30,44,1,,1.49e+00,0.0883527,3.10827e+12,5.6716e+22
sopt,0.2,30,44,2,8.61388,9.70e+00,4.91792e-08,3.44518e-06,2.30621e-07
clssopt,0.2,30,44,2,8.45144,9.33e+00,3.08084e-08,6.52435e-06,6.10159e-08
qdeim,0.2,30,44,2,9.62148,9.18e+00,1.44898e-08,1.37673e-06,4.04155e-07
clsqdeim,0.2,30,44,2,,1.43e+00,0.151251,3.58427e+12,2.24537e+23
sopt,0.2,30,44,3,8.17273,9.21e+00,3.92624e-08,3.96722e-06,1.82545e-07
clssopt,0.2,30,44,3,8.6092,9.27e+00,2.64268e-08,7.32688e-06,2.29545e-07
qdeim,0.2,30,44,3,8.62353,9.37e+00,1.53902e-08,2.66391e-06,3.32493e-07
clsqdeim,0.2,30,44,3,,1.12e+00,0.152476,4.4162e+12,3.41157e+23
sopt,0.2,30,44,4,8.76155,9.40e+00,3.66964e-08,4.2756e-06,1.74391e-07
clssopt,0.2,30,44,4,9.53147,9.37e+00,1.13857e-08,6.82847e-06,8.2895e-08
qdeim,0.2,30,44,4,9.02786,9.15e+00,1.52922e-08,4.57032e-06,3.19929e-07
clsqdeim,0.2,30,44,4,,1.43e+00,0.150514,3.64502e+12,2.29711e+23
sopt,0.2,30,44,5,8.67089,9.01e+00,1.50059e-08,3.59465e-06,1.26399e-07
clssopt,0.2,30,44,5,9.93743,9.15e+00,3.85738e-09,5.52274e-06,1.36728e-07
qdeim,0.2,30,44,5,8.92013,9.38e+00,1.85718e-08,3.74171e-06,3.21904e-07
clsqdeim,0.2,30,44,5,,1.41e+00,0.147023,3.69957e+12,2.3606e+23
sopt,0.2,30,44,6,8.34017,8.77e+00,0.00195806,0.00218983,2.77565e-07
clssopt,0.2,30,44,6,10.5187,9.32e+00,2.35281e-08,5.01969e-06,1.07293e-07
qdeim,0.2,30,44,6,8.82293,9.16e+00,2.19342e-08,3.76312e-06,3.00917e-07
clsqdeim,0.2,30,44,6,,1.38e+00,0.147686,4.37736e+12,3.34296e+23
sopt,0.2,30,44,7,9.58103,9.25e+00,0.00195807,0.00218993,2.77322e-07
clssopt,0.2,30,44,7,10.1154,9.27e+00,2.69562e-08,4.98543e-06,1.17378e-07
qdeim,0.2,30,44,7,9.33658,9.27e+00,1.43944e-08,3.81449e-06,2.98774e-07
clsqdeim,0.2,30,44,7,,1.36e+00,0.149701,3.64652e+12,2.29709e+23
sopt,0.2,30,44,8,9.95149,9.27e+00,0.00195806,0.00219013,2.84381e-07
clssopt,0.2,30,44,8,11.0209,8.97e+00,3.13862e-08,5.71649e-06,1.31072e-07
qdeim,0.2,30,44,8,10.126,9.21e+00,1.12251e-08,3.81722e-06,2.91669e-07
clsqdeim,0.2,30,44,8,,1.26e+00,0.147783,4.4151e+12,3.40028e+23
sopt,0.2,30,44,9,9.6126,9.04e+00,0.00195806,0.00219016,2.84328e-07
clssopt,0.2,30,44,9,11.6512,9.35e+00,3.50574e-08,5.47763e-06,1.38318e-07
qdeim,0.2,30,44,9,10.8515,9.24e+00,1.20848e-08,3.9379e-06,2.91918e-07
clsqdeim,0.2,30,44,9,,1.19e+00,0.148701,3.6187e+12,2.26912e+23
sopt,0.2,30,44,10,11.0599,9.31e+00,0.00195806,0.00219049,2.85439e-07
clssopt,0.2,30,44,10,11.6557,9.59e+00,3.80163e-08,5.47804e-06,1.42022e-07
qdeim,0.2,30,44,10,11.3914,9.34e+00,1.38148e-08,3.46548e-06,2.90381e-07
clsqdeim,0.2,30,44,10,,1.41e+00,0.148654,3.64935e+12,2.31845e+23
sopt,0.2,35,36,1,8.96249,8.90e+00,1.88346e-08,5.99463e-06,1.56627e-07
clssopt,0.2,35,36,1,8.36511,8.80e+00,1.33956e-07,3.88951e-05,2.07659e-06
qdeim,0.2,35,36,1,7.0674,8.74e+00,4.12646e-08,2.57102e-06,2.58218e-07
clsqdeim,0.2,35,36,1,,1.98e+00,0.124075,6.38845e+11,6.14688e+21
sopt,0.2,35,36,2,9.14997,8.82e+00,6.9869e-08,6.76491e-06,2.79495e-07
clssopt,0.2,35,36,2,7.45479,8.73e+00,6.06936e-08,8.8805e-06,4.28068e-07
qdeim,0.2,35,36,2,7.43078,8.51e+00,5.49128e-08,2.02525e-06,2.74925e-07
clsqdeim,0.2,35,36,2,,2.48e+00,0.124172,7.45393e+11,9.3127e+21
sopt,0.2,35,36,3,7.70057,8.80e+00,6.04985e-08,5.79468e-06,3.19985e-07
clssopt,0.2,35,36,3,7.54527,9.21e+00,7.93738e-09,7.59306e-06,2.01414e-07
qdeim,0.2,35,36,3,9.32642,8.81e+00,5.31111e-08,1.62023e-06,2.6382e-07
clsqdeim,0.2,35,36,3,,1.58e+00,0.095477,2.7734e+12,6.00648e+22
sopt,0.2,35,36,4,7.11223,8.75e+00,5.74336e-08,5.65667e-06,2.98075e-07
clssopt,0.2,35,36,4,8.95621,8.64e+00,3.03915e-08,9.02029e-06,2.81009e-07
qdeim,0.2,35,36,4,7.36448,8.74e+00,4.76955e-08,2.06613e-06,2.62543e-07
clsqdeim,0.2,35,36,4,,2.40e+00,0.362379,1.26299e+13,4.80669e+22
sopt,0.2,35,36,5,7.71964,8.54e+00,5.54861e-08,5.56624e-06,3.04936e-07
clssopt,0.2,35,36,5,8.45572,8.66e+00,4.56285e-08,7.16345e-06,2.48119e-07
qdeim,0.2,35,36,5,7.31668,8.79e+00,5.31912e-08,1.52326e-06,2.90295e-07
clsqdeim,0.2,35,36,5,,2.52e+00,0.120387,5.85619e+11,3.44602e+21
sopt,0.2,35,36,6,8.51227,8.75e+00,6.03038e-08,5.70755e-06,3.28547e-07
clssopt,0.2,35,36,6,9.00191,8.86e+00,4.20988e-08,6.97222e-06,2.42485e-07
qdeim,0.2,35,36,6,8.29445,8.55e+00,6.21658e-08,1.40245e-06,3.17998e-07
clsqdeim,0.2,35,36,6,,2.08e+00,0.125767,6.46497e+11,5.51054e+21
sopt,0.2,35,36,7,8.98257,8.95e+00,4.75167e-08,4.97102e-06,3.11163e-07
clssopt,0.2,35,36,7,9.26243,8.97e+00,3.11537e-08,7.69017e-06,2.40646e-07
qdeim,0.2,35,36,7,9.72955,8.70e+00,4.77735e-08,1.71098e-06,2.86601e-07
clsqdeim,0.2,35,36,7,,2.79e+00,0.283042,8.50107e+06,7.54352e+10
sopt,0.2,35,36,8,10.0944,8.77e+00,4.76264e-08,4.66719e-06,3.11304e-07
clssopt,0.2,35,36,8,10.8739,8.73e+00,2.85994e-08,7.03399e-06,2.15752e-07
qdeim,0.2,35,36,8,9.23603,8.46e+00,4.70391e-08,1.88502e-06,2.77731e-07
clsqdeim,0.2,35,36,8,,3.00e+00,0.405142,3.89289e+08,3.78118e+14
sopt,0.2,35,36,9,10.3205,8.81e+00,5.1213e-08,4.57462e-06,3.21019e-07
clssopt,0.2,35,36,9,10.0621,8.60e+00,2.78399e-08,7.00383e-06,2.10193e-07
qdeim,0.2,35,36,9,10.9194,8.75e+00,4.44896e-08,2.15928e-06,2.74384e-07
clsqdeim,0.2,35,36,9,,2.32e+00,0.213118,5.52951e+12,1.16112e+23
sopt,0.2,35,36,10,9.83952,8.90e+00,5.30437e-08,4.39702e-06,3.35667e-07
clssopt,0.2,35,36,10,10.1482,8.53e+00,2.97019e-08,6.5159e-06,2.09322e-07
qdeim,0.2,35,36,10,9.57241,8.78e+00,4.49659e-08,2.05534e-06,2.78775e-07
clsqdeim,0.2,35,36,10,,2.66e+00,0.0579458,5.86374e+12,1.87896e+23
sopt,0.2,40,33,1,6.69217,8.57e+00,1.33868e-07,1.36918e-05,4.80305e-07
clssopt,0.2,40,33,1,6.73851,8.18e+00,3.66963e-06,0.00232949,0.000173831
qdeim,0.2,40,33,1,7.13044,8.63e+00,1.35273e-07,8.5154e-06,3.9177e-07
