window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,50,11,8,3.79031,3.83e+00,4.75088e-07,1.87377e-05,1.4897e-06
qdeim,0.1,50,11,8,3.67753,3.88e+00,1.31678e-07,1.89883e-05,7.32184e-07
clsqdeim,0.1,50,11,8,,1.30e+00,0.174568,3.40093e+12,6.1657e+23
sopt,0.1,50,11,9,4.24364,3.90e+00,5.94493e-08,1.58128e-05,6.22787e-07
clssopt,0.1,50,11,9,4.51847,3.79e+00,5.83046e-07,1.80721e-05,1.35509e-06
qdeim,0.1,50,11,9,3.6007,4.24e+00,1.41522e-07,1.90896e-05,7.2888e-07
clsqdeim,0.1,50,11,9,,2.58e+00,0.176218,3.39694e+12,6.16993e+23
sopt,0.1,50,11,10,10.0698,3.72e+00,5.19798e-08,1.55965e-05,6.28293e-07
clssopt,0.1,50,11,10,4.13767,3.82e+00,5.03273e-07,1.76253e-05,1.2964e-06
qdeim,0.1,50,11,10,4.42573,3.89e+00,1.54077e-07,1.85194e-05,7.38862e-07
clsqdeim,0.1,50,11,10,,1.43e+00,0.177371,3.8406e+12,7.94007e+23
