window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,30,18,8,6.71927,5.97e+00,1.21189e-06,0.000311476,1.05521e-05
qdeim,0.1,30,18,8,3.92459,4.03e+00,8.69058e-08,3.33815e-05,2.22196e-07
clsqdeim,0.1,30,18,8,4.38701,4.00e+00,0.000449316,0.00305376,0.00705915
sopt,0.1,30,18,9,4.25917,4.39e+00,8.36238e-08,1.64794e-05,3.56989e-07
clssopt,0.1,30,18,9,29.9784,1.88e+01,1.15629e-06,0.000305061,1.03098e-05
qdeim,0.1,30,18,9,5.07993,6.57e+00,8.4623e-08,3.24673e-05,2.12421e-07
clsqdeim,0.1,30,18,9,15.6721,1.09e+01,0.000447334,0.00304353,0.00705921
sopt,0.1,30,18,10,6.07092,4.25e+00,8.50348e-08,1.63776e-05,3.52944e-07
clssopt,0.1,30,18,10,6.00716,4.16e+00,1.1644e-06,0.000304049,1.03e-05
qdeim,0.1,30,18,10,3.93927,4.29e+00,8.54943e-08,3.11029e-05,2.06665e-07
clsqdeim,0.1,30,18,10,4.10021,4.32e+00,0.000447084,0.0030366,0.00705671
sopt,0.1,40,14,1,10.4019,5.62e+00,7.48389e-08,1.64037e-05,3.66795e-07
clssopt,0.1,40,14,1,4.86688,4.13e+00,1.21195e-06,0.000170994,5.62713e-06
qdeim,0.1,40,14,1,3.09464,3.91e+00,3.79144e-07,0.000107171,2.91567e-06
clsqdeim,0.1,40,14,1,,2.99e+00,0.136054,,5.43894e+07
sopt,0.1,40,14,2,9.64541,4.39e+00,2.16899e-07,1.67492e-05,7.69282e-07
clssopt,0.1,40,14,2,2.95126,4.73e+00,1.30645e-07,2.40901e-05,1.54497e-06
qdeim,0.1,40,14,2,3.06331,5.18e+00,5.73235e-07,0.000134442,3.68479e-06
clsqdeim,0.1,40,14,2,,2.51e+00,0.131445,,1.5284e+08
sopt,0.1,40,14,3,2.78813,3.75e+00,7.41938e-08,2.69998e-05,2.66005e-07
clssopt,0.1,40,14,3,2.9531,5.10e+00,3.86857e-08,6.25084e-06,7.77388e-07
qdeim,0.1,40,14,3,3.1918,5.38e+00,5.31364e-07,0.000150817,3.85861e-06
clsqdeim,0.1,40,14,3,,3.65e+00,0.130712,,1.41672e+09
sopt,0.1,40,14,4,3.62158,3.90e+00,6.8263e-08,3.61572e-05,1.65991e-07
clssopt,0.1,40,14,4,7.89167,3.88e+00,2.78451e-07,1.84194e-05,8.57979e-07
qdeim,0.1,40,14,4,2.84939,3.75e+00,4.88596e-07,0.000157685,3.55183e-06
clsqdeim,0.1,40,14,4,,2.68e+00,0.127019,,5.22727e+08
sopt,0.1,40,14,5,3.23551,5.22e+00,6.86839e-08,3.86966e-05,3.12664e-07
clssopt,0.1,40,14,5,4.34651,5.23e+00,1.80688e-07,2.12848e-05,1.42937e-06
qdeim,0.1,40,14,5,3.2035,4.35e+00,5.54244e-07,0.00018804,3.88095e-06
clsqdeim,0.1,40,14,5,,5.57e+00,0.126873,1.35425e+06,3.20737e+09
sopt,0.1,40,14,6,3.25611,4.78e+00,1.39675e-07,3.73744e-05,5.94147e-07
clssopt,0.1,40,14,6,3.8877,3.94e+00,6.68119e-08,1.09093e-05,9.44808e-07
qdeim,0.1,40,14,6,3.92457,3.96e+00,3.81485e-07,0.000183373,3.15011e-06
clsqdeim,0.1,40,14,6,,2.12e+00,0.125731,,1.06222e+09
sopt,0.1,40,14,7,3.42868,4.46e+00,1.19953e-07,3.4461e-05,5.14242e-07
clssopt,0.1,40,14,7,3.59881,3.87e+00,6.51236e-08,1.10587e-05,9.00533e-07
qdeim,0.1,40,14,7,3.5433,3.93e+00,2.28884e-07,0.000169107,2.3735e-06
clsqdeim,0.1,40,14,7,,3.22e+00,0.130637,1.52558e+06,4.05481e+09
