method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsQDEIM,3,0.9999,19,21,21,56,1.24832269,0.0001187632024929478
SOPT,3,0.9999,19,21,21,61,1.340806047,0.0002160646370502662
clsSOPT,3,0.9999,19,21,21,61,1.358729034,8.520051646484475e-05
QDEIM,3,0.9999,19,21,21,61,1.358688554,0.0006313809992749165
clsQDEIM,3,0.9999,19,21,21,61,1.356281406,0.0002502332694979745
SOPT,3,0.9999,19,21,21,66,1.406636347,0.0003588630051430592
clsSOPT,3,0.9999,19,21,21,66,1.457297356,7.557057133483508e-05
QDEIM,3,0.9999,19,21,21,66,1.479810776,0.0002134094068738129
clsQDEIM,3,0.9999,19,21,21,66,1.411440489,0.0004347301023279412
SOPT,3,0.9999,19,21,21,71,1.500777033,0.000243610695968845
clsSOPT,3,0.9999,19,21,21,71,1.527668941,0.0003881448238683386
QDEIM,3,0.9999,19,21,21,71,1.555867638,0.0002899612159615341
clsQDEIM,3,0.9999,19,21,21,71,1.484627935,0.0006230391057887487
SOPT,3,0.9999,19,21,21,76,1.575254353,0.0002493341932578119
clsSOPT,3,0.9999,19,21,21,76,1.615529692,0.0003886995437301564
QDEIM,3,0.9999,19,21,21,76,1.578437243,0.0002713223438913925
clsQDEIM,3,0.9999,19,21,21,76,1.579652196,0.000436117146042753
SOPT,3,0.9999,19,21,21,81,1.624918905,0.0002127570146686308
clsSOPT,3,0.9999,19,21,21,81,1.694807487,0.0003848947621667675
QDEIM,3,0.9999,19,21,21,81,1.657750972,0.0003885624668800481
clsQDEIM,3,0.9999,19,21,21,81,1.645296093,0.0004604470857195471
SOPT,3,0.9999,19,21,21,86,1.704178677,0.0001715622043726401
clsSOPT,3,0.9999,19,21,21,86,1.748994871,0.0004732346007308532
QDEIM,3,0.9999,19,21,21,86,1.69858222,0.0004125742332355845
clsQDEIM,3,0.9999,19,21,21,86,1.737856703,0.0007653914298733568
SOPT,3,0.9999,19,21,21,91,1.7566697,0.0001718468235094696
clsSOPT,3,0.9999,19,21,21,91,1.831219579,0.0004643535349771345
QDEIM,3,0.9999,19,21,21,91,1.772750531,0.0004317404361356047
clsQDEIM,3,0.9999,19,21,21,91,1.822274725,0.0007117222604924421
SOPT,3,0.9999,19,21,21,96,1.82475267,0.00017077713323641
clsSOPT,3,0.9999,19,21,21,96,1.914301043,0.0004568767891676064
QDEIM,3,0.9999,19,21,21,96,1.838785446,0.000449091239820328
clsQDEIM,3,0.9999,19,21,21,96,1.895962969,0.0009612072758905654
SOPT,3,0.9999,19,21,21,101,1.901964144,0.0001707771332366175
clsSOPT,3,0.9999,19,21,21,101,1.975530087,0.0004496566291999605
QDEIM,3,0.9999,19,21,21,101,1.911004532,0.0003444458098388372
clsQDEIM,3,0.9999,19,21,21,101,1.975894372,0.0008277506695073999
SOPT,3,0.9999,19,21,21,106,1.974722492,0.0001707771332366215
clsSOPT,3,0.9999,19,21,21,106,2.036498964,0.0001484045812094894
QDEIM,3,0.9999,19,21,21,106,1.993351687,0.0003175935865118204
clsQDEIM,3,0.9999,19,21,21,106,2.027173471,0.0009064023089734592
SOPT,3,0.9999,19,21,21,111,2.037086167,0.0001707771332366242
clsSOPT,3,0.9999,19,21,21,111,2.108436381,0.0001191592871641485
QDEIM,3,0.9999,19,21,21,111,2.011865747,0.0001547089043343372
clsQDEIM,3,0.9999,19,21,21,111,2.083542917,0.0009403496651267587
SOPT,3,0.9999,19,21,21,116,2.120320405,0.0001707771332366259
clsSOPT,3,0.9999,19,21,21,116,2.178474904,0.0001168425057196861
QDEIM,3,0.9999,19,21,21,116,2.049684329,0.0005495379554749195
clsQDEIM,3,0.9999,19,21,21,116,2.171687519,0.001038635123024096
SOPT,3,0.9999,19,21,21,121,2.165266655,0.0001707771332366207
clsSOPT,3,0.9999,19,21,21,121,2.272948717,0.000107282012065928
QDEIM,3,0.9999,19,21,21,121,2.104736222,0.000181941123614464
clsQDEIM,3,0.9999,19,21,21,121,2.232854399,0.0009741223842892117
SOPT,3,0.9999,19,21,21,126,2.225257171,0.0001707771332366138
clsSOPT,3,0.9999,19,21,21,126,2.335518434,0.0001428002008529965
QDEIM,3,0.9999,19,21,21,126,2.188100461,8.816874431021036e-05
clsQDEIM,3,0.9999,19,21,21,126,2.302927894,0.001026397687183022
SOPT,3,0.9999,19,21,21,131,2.316399236,0.0001707771332366223
clsSOPT,3,0.9999,19,21,21,131,2.39506639,0.0001431203019457039
QDEIM,3,0.9999,19,21,21,131,2.257145468,0.0001309800825379987
clsQDEIM,3,0.9999,19,21,21,131,2.357536928,0.001172378184652568
SOPT,3,0.9999,19,21,21,136,2.382832933,0.0001707771332366151
clsSOPT,3,0.9999,19,21,21,136,2.456619496,0.0001441366729800125
QDEIM,3,0.9999,19,21,21,136,2.332205123,0.0001626844045082633
clsQDEIM,3,0.9999,19,21,21,136,2.408829901,0.001286984313813249
SOPT,3,0.9999,19,21,21,141,2.436150859,0.000170777133236619
clsSOPT,3,0.9999,19,21,21,141,2.518171144,0.0001488062915081644
QDEIM,3,0.9999,19,21,21,141,2.38824,0.0003502707576347014
clsQDEIM,3,0.9999,19,21,21,141,2.46877568,0.001187838986834267
SOPT,3,0.9999,19,21,21,146,2.523646046,0.0001707771332366195
clsSOPT,3,0.9999,19,21,21,146,2.53707493,0.0001449712945561234
QDEIM,3,0.9999,19,21,21,146,2.433804525,0.0004332548915826835
