method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
qdeim,0.1,0.9999,20,49,7,2368,2432,3136,1536,2432,1920,1984,1216,1984,2432,1280,2496,2112,3456,1536,1792,1472,1088,2176,1408,1216,1344,1664,1856,2112,1792,1024,896,2304,640,1408,1280,1472,1344,1408,1536,1856,832,1664,1216,1216,1408,1088,1280,1088,1088,1152,1088,512,4.94643,0.000599464,0.018961,0.00163585
gnat,0.1,0.9999,20,49,7,1664,1920,2176,1792,2048,1664,1792,1600,2304,1856,1728,1664,2048,1408,1728,1920,2048,1664,1344,1600,1664,1600,1152,896,1664,1344,1152,1408,1280,1344,1152,1536,1280,1088,1216,1536,1600,1024,1152,1280,1152,1472,1280,1088,1024,1088,1088,704,448,12.8019,0.000471318,0.00933043,0.0012501
sopt,0.1,0.9999,20,49,8,1216,2304,2176,2176,2496,1920,2496,2240,3200,1728,2304,1856,4032,2688,2176,3776,1984,1984,2624,2304,1600,2432,1216,1792,1856,1472,2816,1536,2816,1664,2048,1664,1536,1344,1600,1920,1280,2048,1600,1600,1600,1472,1472,1664,1280,1088,1088,1280,704,5.63216,0.000217158,0.00602246,0.000562505
qdeim,0.1,0.9999,20,49,8,2688,2752,3264,1536,2944,1920,2240,1280,2048,2688,1280,2624,2112,3648,1536,2304,1472,1344,2240,1536,1216,1472,1664,1856,2432,1792,1280,1088,2816,640,1408,1344,1728,1472,1664,1536,1856,1344,1664,1216,1216,1472,1088,1280,1088,1088,1152,1088,1088,5.41957,0.000500723,0.0166268,0.00132275
gnat,0.1,0.9999,20,49,8,1984,1984,2304,1792,2048,1792,1792,1792,2368,2112,1792,1600,2048,1536,1792,1984,2048,1792,1600,1664,1664,1600,1216,1216,1792,1472,1216,1472,1792,1408,1280,1600,1088,1216,1280,1472,1728,1216,1280,1472,1344,1472,1216,1088,1088,1088,1088,704,576,5.15048,0.000361835,0.00742986,0.000896431
sopt,0.1,0.9999,20,49,9,1216,2496,2304,2304,2496,1984,2496,2688,3328,1856,2304,1856,5504,3840,2240,4032,2432,1984,2624,2432,1600,2432,1472,1792,1856,2048,2944,2304,3200,1984,2240,1664,1600,1344,1664,1920,1856,2304,1664,1600,1664,1536,1856,1856,1472,1088,1216,1280,704,9.41253,0.000148858,0.00359324,0.00047068
qdeim,0.1,0.9999,20,49,9,2880,2752,3776,1536,3328,1920,2240,1536,2048,2688,1280,2624,2560,3648,1536,2496,1536,1472,2240,1728,1216,2048,1664,1920,2624,1792,1344,1280,2816,832,1408,1344,1984,1600,1856,1536,2048,1472,1792,1472,1344,1472,1280,1280,1088,1088,1152,1088,1088,5.35582,0.000425285,0.0140528,0.00100999
gnat,0.1,0.9999,20,49,9,2176,2048,2432,1856,2048,1856,1856,1856,2432,2240,1856,1664,2368,1664,1856,2048,2048,1856,1664,1664,1664,1600,1280,1280,1856,1472,1280,1472,1856,1472,1408,1664,1216,1408,1280,1472,1856,1088,1664,1472,1408,1472,1280,1088,1088,1088,1088,704,640,5.10101,0.000299611,0.00650714,0.00069641
sopt,0.1,0.99999,20,49,2,1088,1536,1664,1664,1472,1600,1536,1472,2560,1600,1408,1280,1472,1216,1216,1088,1728,1088,1408,1408,1216,1664,1152,1088,1472,960,1152,1088,1152,896,1152,1216,960,1472,1536,1280,1024,1216,1152,1024,1024,1216,1088,1152,960,832,768,576,512,4.55335,0.00100132,0.0304164,0.00203721
qdeim,0.1,0.99999,20,49,2,1344,1472,1536,1664,1600,1216,1280,1344,1408,1472,1536,1472,1664,2112,1472,1472,1152,1152,1344,1856,1088,1344,960,1664,768,1344,960,768,704,960,896,1472,960,960,1088,1344,896,768,704,1280,896,1152,1088,1216,960,704,704,704,512,4.77454,0.00116704,0.0243448,0.00245693
gnat,0.1,0.99999,20,49,2,1088,1664,1536,1408,1472,1408,1408,1280,1344,1216,1344,1152,1344,1088,960,1216,1472,1280,1152,1408,1024,1664,832,704,768,832,832,896,768,768,960,1024,768,1408,1216,1024,960,640,1024,832,768,1280,1024,832,832,768,832,704,384,4.39466,0.00135703,0.0234226,0.00229902
sopt,0.1,0.99999,20,49,3,1280,1600,1856,1792,1472,1728,1792,1920,3136,1792,1600,1536,2304,1472,1600,1408,1792,1472,1856,1920,1280,2048,1280,1280,1792,1280,1280,1152,1472,1088,1344,1408,1216,1664,1600,1408,1152,1472,1280,1280,1216,1408,1280,1280,1088,896,896,768,512,4.70234,0.000628343,0.019562,0.00113074
qdeim,0.1,0.99999,20,49,3,1344,1728,1728,1728,1984,1536,1536,1664,1600,1664,1984,1536,1856,2112,1472,2176,1216,1216,1472,2048,1088,1472,1216,1664,1344,1344,1344,1152,1600,1152,1088,1664,960,960,1280,1344,896,1088,1600,1664,1216,1216,1664,1280,960,832,768,704,512,5.23903,0.00074504,0.0185262,0.00163245
gnat,0.1,0.99999,20,49,3,1600,1856,1856,1664,1664,1792,1472,1472,1472,1472,1472,1216,1472,1152,1088,1472,1536,1472,1280,1600,1088,2048,896,832,896,896,896,1280,896,896,1088,1216,896,1664,1280,1344,1216,704,1216,896,896,1472,1088,896,832,832,896,704,448,4.41108,0.000783426,0.0167415,0.00173914
sopt,0.1,0.99999,20,49,4,1408,1728,2048,1920,1600,1920,2048,2240,3136,1856,1728,1984,2496,1984,1728,1792,2048,1600,2112,2304,1408,2304,1280,1408,1792,1344,1664,1472,1536,1216,1664,1664,1536,1856,1664,1536,1664,1472,1536,1408,1344,1408,1472,1280,1152,960,960,896,704,5.17051,0.000394366,0.0120859,0.000549325
qdeim,0.1,0.99999,20,49,4,1664,1728,2176,2048,2880,1600,1792,1728,1600,1984,2496,1600,1856,2176,1472,2816,1536,1280,1536,2048,1408,1536,1216,1792,1792,1344,1344,1472,1792,1472,1216,1664,1088,1408,1280,1344,1408,1088,1600,1920,1280,1280,1856,1280,1024,1088,1088,704,512,4.9955,0.000516188,0.0145343,0.00105024
gnat,0.1,0.99999,20,49,4,1728,1920,2048,1728,1536,1792,1536,1536,1920,1792,1728,1536,1472,1216,1152,1664,1792,1600,1280,1856,1536,1984,1216,896,1408,960,1216,1344,1024,960,1408,1472,1024,1792,1408,1472,1472,960,1344,1344,832,1280,1280,1088,1088,1024,768,704,512,4.51521,0.00059126,0.014165,0.00167663
sopt,0.1,0.99999,20,49,5,1408,2112,2176,1984,1728,2112,2496,2304,3136,1920,1792,2048,2560,2368,1792,1984,2368,1856,2176,2304,1472,2304,1472,1472,1856,1472,1728,1664,1664,1600,1856,1664,1536,1856,1664,1600,2176,1664,1600,1408,1344,1408,1472,1344,1280,1024,1088,1088,704,5.61869,0.000259481,0.00882992,0.000400527
qdeim,0.1,0.99999,20,49,5,1984,1728,2176,2240,2880,1856,1792,1856,1856,1984,2560,1664,1856,2496,1472,3200,1536,1344,1536,2048,2048,1856,1280,1792,1792,1344,1472,1600,1856,1472,1536,1728,1088,1408,1344,1344,1472,1152,1792,2048,1600,1344,1856,1280,1024,1088,1088,704,640,5.2001,0.000434807,0.012934,0.000821994
gnat,0.1,0.99999,20,49,5,1792,1984,2176,1792,1664,2176,1600,1600,2048,1792,1792,1408,1472,1280,1280,1664,1920,1664,1536,1984,1344,1984,1280,960,1536,1024,1024,1408,1472,1280,1408,2048,1152,1856,1472,1472,1664,1344,1344,1344,960,1472,1280,1216,1024,1024,1024,704,512,4.68088,0.000452414,0.0104733,0.00128475
sopt,0.1,0.99999,20,49,6,1472,2176,2304,2432,2112,2368,2944,2432,3328,2048,1984,2432,2560,2688,1984,2048,2432,1920,2304,2624,1472,2304,1728,1536,2112,1472,1856,1856,1920,2176,1984,1664,1664,1856,1664,1664,2496,1664,1664,1664,1536,1408,1472,1472,1280,1088,1088,1088,704,5.60917,0.000122944,0.00396732,0.000236507
