method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,10,24.773065,9.684131,4.96703,2.10967e-06,0.00103965,4.693e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,15,31.818674,13.881104,8.61494,0.0172507,7.91697,0.198431
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,15,23.281131,9.601991,6.05569,6.04484e-06,0.00266023,7.84975e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,15,26.883963,11.655105,5.14193,9.36678e-05,0.034995,0.00165071
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,15,12.405964,11.186270,5.50619,6.94745e-06,0.000864227,4.27384e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,20,27.603282,11.819209,6.6528,0.000137861,0.0762245,0.00135823
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,20,21.434141,6.738003,6.27476,4.09507e-06,0.00145434,6.01351e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,20,22.618718,6.529617,5.66634,3.05822e-05,0.0475841,0.0016897
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,20,10.606783,8.630182,5.8581,2.82542e-06,0.000731294,4.28608e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,25,22.161413,10.689890,7.41309,0.00090485,0.501607,0.00868549
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,25,18.680662,6.566965,6.60324,6.34762e-06,0.00200209,7.02984e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,25,18.077248,7.912856,6.09456,5.07732e-05,0.0191222,0.00101061
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,25,11.813997,7.282570,6.21765,1.91783e-06,0.000502482,3.34888e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,30,21.447911,9.810846,7.90002,0.00243303,1.79155,0.033025
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,30,15.507470,6.815256,6.95569,3.57149e-06,0.00116853,4.79703e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,30,17.354563,6.312899,6.56045,2.01885e-05,0.00685668,0.000321395
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,30,10.249980,6.040352,6.45657,1.84733e-06,0.000549154,2.81247e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,35,20.082259,10.683141,8.16042,0.000855403,0.767124,0.0147136
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,35,14.680060,5.851622,7.40772,3.51312e-06,0.000949461,3.46734e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,35,20.122548,4.722180,7.02589,1.287e-05,0.00876475,0.000331591
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,35,9.224646,6.389771,7.07258,2.15211e-06,0.000498906,2.29798e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,40,18.091952,13.032117,8.93594,0.00291817,2.72699,0.0562389
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,40,14.340659,5.581561,7.83991,3.22756e-06,0.0010457,3.52139e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,40,17.623613,4.426578,7.49923,4.78295e-06,0.00135667,4.15079e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,40,8.523480,4.814163,7.4071,2.09305e-06,0.000471914,2.06652e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,45,18.949813,17.014067,9.70152,0.00302416,2.92937,0.0589141
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,45,14.307478,6.539529,8.43962,5.33449e-06,0.00136235,5.13774e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,45,18.185851,6.650627,7.90227,9.88538e-06,0.00363836,0.000185676
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,45,8.287167,5.153324,8.16153,2.42847e-06,0.000433775,2.23111e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,50,17.620229,9.794977,9.83062,0.000625554,0.49366,0.00869071
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,50,11.447682,5.120476,8.64888,8.32382e-06,0.00141672,6.04651e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,50,17.239712,4.764841,8.20578,6.79248e-06,0.00214878,0.000120799
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,50,6.849205,4.596027,8.48379,2.39003e-06,0.000439075,2.19527e-05
