method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,85,3.936000,1.906322,6.77061,1.17093e-05,0.00127863,1.27578e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,85,8.355165,1.000000,7.58228,2.47071e-05,0.00624068,0.000184142
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,85,3.400151,1.164565,5.51422,0.000140928,0.0361633,0.00067412
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,85,3.349651,1.000000,7.44719,2.42224e-05,0.00821658,0.000254763
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,85,3.936000,1.835557,6.44632,1.14277e-05,0.00129747,3.86678e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,85,8.355165,129.644354,7.45377,0.000129153,0.0383238,0.000170986
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,85,3.400151,1.232561,6.13428,7.16041e-05,0.0199943,0.000281426
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,85,3.349651,6.349942,8.22411,5.26345e-05,0.0152971,0.000779207
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,90,4.501806,1.686387,7.44484,1.26159e-05,0.00131888,1.57953e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,90,8.292726,1.000000,7.83013,2.68321e-05,0.00646281,0.000197454
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,90,3.417970,1.312519,6.13497,2.62236e-05,0.00859767,6.82533e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,90,3.042652,1.000000,7.87857,2.23731e-05,0.00814667,0.000257915
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,90,4.501806,1.884164,7.11595,1.40624e-05,0.00134078,2.17408e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,90,8.292726,119.990040,8.52665,0.00011936,0.0371334,0.000108554
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,90,3.417970,1.479246,5.70511,4.77272e-05,0.0136351,0.0001529
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,90,3.042652,6.207324,9.78497,4.71645e-05,0.014808,0.00078716
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,95,3.787662,1.566388,7.55361,9.3362e-06,0.00151869,1.18199e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,95,8.278090,1.000000,7.73867,2.71065e-05,0.00649839,0.000200795
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,95,2.916581,1.259139,6.17731,6.41244e-06,0.00280667,6.9165e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,95,3.087842,1.000000,8.42515,2.14922e-05,0.00817714,0.000264867
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,95,,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,5,13.082001,6.675674,3.5017,0.00950954,4.35176,0.162793
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,5,10.864070,5.109165,,0.0161598,16.4801,0.360402
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,5,13.088998,4.565154,2.30021,1.30549e-05,0.00215071,8.17495e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,5,9.891293,4.772225,2.89219,6.62434e-05,0.0240115,0.0012175
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,10,7.011494,2.712665,4.06921,0.00165706,0.634962,0.0206635
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,10,7.837229,3.652173,4.51033,0.000385632,0.200168,0.00398329
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,10,17.170836,2.291243,2.56301,1.4921e-05,0.00249474,5.94841e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,10,10.602481,4.411206,3.3938,8.51181e-05,0.0299502,0.00208783
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,15,7.339510,2.647181,4.46347,0.00270231,0.935009,0.0310634
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,15,11.584910,5.082187,5.2947,0.00116312,0.5651,0.0137966
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,15,12.054538,2.086666,2.80495,9.34346e-06,0.00209021,3.61208e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,15,11.312506,3.321033,3.80139,0.000116128,0.0450741,0.0025327
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,20,6.980822,2.461053,4.55237,3.66981e-05,0.00462587,0.000135689
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,20,6.096056,3.018278,5.29748,0.000773854,0.298683,0.00810529
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,20,10.294828,2.093666,2.98006,5.23323e-06,0.00167099,3.27134e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,20,7.139864,3.270553,4.53619,0.000171621,0.0624249,0.00384465
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,25,4.761375,2.149723,5.04623,1.36479e-05,0.0066354,9.03149e-05
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,25,6.940734,3.076288,5.89112,0.00056973,0.218155,0.00539761
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,25,7.891273,1.960605,3.2876,1.39424e-05,0.00285692,5.60522e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,25,4.485039,3.102107,4.71874,4.89407e-05,0.0171287,0.00128077
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,30,5.500440,2.138873,5.37932,9.90668e-05,0.0287678,0.000274021
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,30,11.022132,3.658025,6.43074,0.000690324,0.216573,0.0060543
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,30,9.604746,2.036849,3.58421,2.28629e-05,0.00341606,6.44846e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,30,4.846056,2.689025,5.82702,3.45773e-05,0.0127208,0.000888644
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,35,4.844320,4.250635,5.2349,0.000211808,0.0618604,0.00085082
