method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQP,0.9999,19,21,21,840,236,3.583636248,1.745889995015925e-08
EQP,0.9999,19,21,21,860,236,3.492712666,1.745889995015925e-08
EQP,0.9999,19,21,21,880,236,3.495754502,1.745889995015925e-08
EQP,0.9999,19,21,21,900,236,3.649109562,1.745889995015925e-08
EQP,0.9999,19,21,21,920,236,3.741033876,1.745889995015925e-08
EQP,0.9999,19,21,21,940,236,3.493472049,1.745889995015925e-08
EQP,0.9999,19,21,21,960,236,3.513308225,1.745889995015925e-08
EQP,0.9999,19,21,21,980,236,3.512167309,1.745889995015925e-08
EQP,0.9999,19,21,21,1000,236,3.486969355,1.745889995015925e-08
EQP,0.9999,19,21,21,1020,236,3.527442768,1.745889995015925e-08
EQP,0.9999,19,21,21,1040,236,3.514327764,1.745889995015925e-08
EQPGlobal,0.99999,24,27,27,1040,279,6.98949336,1.022713578625027e-08
EQP,0.99999,24,27,27,20,20,0.8124562710000001,0.1202884040934107
EQP,0.99999,24,27,27,40,40,1.321041958,0.004258458879235371
EQP,0.99999,24,27,27,60,60,1.817570387,0.001438089848579966
EQP,0.99999,24,27,27,80,80,2.304216806,0.000352575069001721
EQP,0.99999,24,27,27,100,100,2.727412733,0.0001134473295177101
EQP,0.99999,24,27,27,120,120,3.218587118,4.114740333862785e-05
EQP,0.99999,24,27,27,140,140,3.649405235,8.998613934283586e-06
EQP,0.99999,24,27,27,160,160,4.185457502,4.080305745300404e-06
EQP,0.99999,24,27,27,180,180,4.644293497,1.137881462417175e-06
EQP,0.99999,24,27,27,200,200,5.125933998,3.424044723038277e-07
EQP,0.99999,24,27,27,220,220,5.597442119,1.111327171597235e-07
EQP,0.99999,24,27,27,240,240,6.008745647,2.021865650448506e-08
EQP,0.99999,24,27,27,260,260,6.558667762,1.189136072403027e-08
EQP,0.99999,24,27,27,280,280,6.929820368,1.022732002723763e-08
EQP,0.99999,24,27,27,300,279,6.90283814,1.022713578625027e-08
EQP,0.99999,24,27,27,320,279,6.989674839,1.022713578625027e-08
EQP,0.99999,24,27,27,340,279,7.01333559,1.022713578625027e-08
EQP,0.99999,24,27,27,360,279,6.988532757,1.022713578625027e-08
EQP,0.99999,24,27,27,380,279,6.992415638,1.022713578625027e-08
EQP,0.99999,24,27,27,400,279,6.997582982,1.022713578625027e-08
EQP,0.99999,24,27,27,420,279,6.916898999,1.022713578625027e-08
EQP,0.99999,24,27,27,440,279,7.009905973,1.022713578625027e-08
EQP,0.99999,24,27,27,460,279,7.014123085,1.022713578625027e-08
EQP,0.99999,24,27,27,480,279,7.075279562,1.022713578625027e-08
EQP,0.99999,24,27,27,500,279,7.045282403,1.022713578625027e-08
EQP,0.99999,24,27,27,520,279,7.05961902,1.022713578625027e-08
EQP,0.99999,24,27,27,540,279,7.034672101,1.022713578625027e-08
EQP,0.99999,24,27,27,560,279,7.057938595,1.022713578625027e-08
EQP,0.99999,24,27,27,580,279,7.050271094,1.022713578625027e-08
EQP,0.99999,24,27,27,600,279,7.051432785,1.022713578625027e-08
EQP,0.99999,24,27,27,620,279,7.047381311,1.022713578625027e-08
EQP,0.99999,24,27,27,640,279,7.068890072,1.022713578625027e-08
EQP,0.99999,24,27,27,660,279,7.05488679,1.022713578625027e-08
EQP,0.99999,24,27,27,680,279,7.037384905,1.022713578625027e-08
EQP,0.99999,24,27,27,700,279,6.966741415,1.022713578625027e-08
EQP,0.99999,24,27,27,720,279,7.040816259,1.022713578625027e-08
EQP,0.99999,24,27,27,740,279,7.051769193,1.022713578625027e-08
EQP,0.99999,24,27,27,760,279,7.03285797,1.022713578625027e-08
EQP,0.99999,24,27,27,780,279,7.053097644,1.022713578625027e-08
EQP,0.99999,24,27,27,800,279,6.908611083,1.022713578625027e-08
EQP,0.99999,24,27,27,820,279,6.997249539,1.022713578625027e-08
EQP,0.99999,24,27,27,840,279,6.912209065,1.022713578625027e-08
EQP,0.99999,24,27,27,860,279,6.989182638,1.022713578625027e-08
EQP,0.99999,24,27,27,880,279,7.012566928,1.022713578625027e-08
EQP,0.99999,24,27,27,900,279,7.013517751,1.022713578625027e-08
EQP,0.99999,24,27,27,920,279,7.01763817,1.022713578625027e-08
EQP,0.99999,24,27,27,940,279,6.98935043,1.022713578625027e-08
EQP,0.99999,24,27,27,960,279,6.997261236,1.022713578625027e-08
EQP,0.99999,24,27,27,980,279,6.995277057,1.022713578625027e-08
EQP,0.99999,24,27,27,1000,279,7.002915278,1.022713578625027e-08
EQP,0.99999,24,27,27,1020,279,7.010158311,1.022713578625027e-08
EQP,0.99999,24,27,27,1040,279,7.012115471,1.022713578625027e-08
EQPGlobal,0.999999,29,32,32,1040,354,13.514220102,3.970981954203102e-09
EQP,0.999999,29,32,32,20,20,1.540353715,0.2279423172208293
EQP,0.999999,29,32,32,40,40,1.96948225,0.007525186592479969
EQP,0.999999,29,32,32,60,60,2.694177691,0.002298837699256591
EQP,0.999999,29,32,32,80,80,3.421333123,0.0007049712462982998
EQP,0.999999,29,32,32,100,100,4.137125446,0.0002043309410190852
EQP,0.999999,29,32,32,120,120,4.900401518,0.0001128399188866061
EQP,0.999999,29,32,32,140,140,5.631945323,4.945957927998775e-05
EQP,0.999999,29,32,32,160,160,6.395703059,1.863796942767599e-05
EQP,0.999999,29,32,32,180,180,7.171572036,3.471147326198315e-06
EQP,0.999999,29,32,32,200,200,7.937521382,1.689964892005012e-06
EQP,0.999999,29,32,32,220,220,8.648565079000001,5.392559698034984e-07
EQP,0.999999,29,32,32,240,240,9.407923089000001,1.607317181124259e-07
EQP,0.999999,29,32,32,260,260,10.107332645,6.206334459400677e-08
EQP,0.999999,29,32,32,280,280,10.868911382,1.788445510136831e-08
EQP,0.999999,29,32,32,300,300,11.614175943,5.365551522922095e-09
EQP,0.999999,29,32,32,320,320,12.356615119,4.067392413746998e-09
EQP,0.999999,29,32,32,340,340,13.075788663,4.066901903651028e-09
EQP,0.999999,29,32,32,360,354,13.596751884,3.970981954203102e-09
EQP,0.999999,29,32,32,380,354,13.510483755,3.970981954203102e-09
EQP,0.999999,29,32,32,400,354,13.458598992,3.970981954203102e-09
EQP,0.999999,29,32,32,420,354,13.512652647,3.970981954203102e-09
EQP,0.999999,29,32,32,440,354,13.523138197,3.970981954203102e-09
EQP,0.999999,29,32,32,460,354,13.520854655,3.970981954203102e-09
EQP,0.999999,29,32,32,480,354,13.524668272,3.970981954203102e-09
EQP,0.999999,29,32,32,500,354,13.446697856,3.970981954203102e-09
EQP,0.999999,29,32,32,520,354,13.508447457,3.970981954203102e-09
EQP,0.999999,29,32,32,540,354,13.507116276,3.970981954203102e-09
EQP,0.999999,29,32,32,560,354,13.51384448,3.970981954203102e-09
EQP,0.999999,29,32,32,580,354,13.518456952,3.970981954203102e-09
EQP,0.999999,29,32,32,600,354,13.510324427,3.970981954203102e-09
EQP,0.999999,29,32,32,620,354,13.514950796,3.970981954203102e-09
EQP,0.999999,29,32,32,640,354,13.515970701,3.970981954203102e-09
EQP,0.999999,29,32,32,660,354,13.518068146,3.970981954203102e-09
EQP,0.999999,29,32,32,680,354,13.528837742,3.970981954203102e-09
EQP,0.999999,29,32,32,700,354,13.50831231,3.970981954203102e-09
EQP,0.999999,29,32,32,720,354,13.446804389,3.970981954203102e-09
EQP,0.999999,29,32,32,740,354,13.570896833,3.970981954203102e-09
EQP,0.999999,29,32,32,760,354,13.515397536,3.970981954203102e-09
EQP,0.999999,29,32,32,780,354,13.514523518,3.970981954203102e-09
EQP,0.999999,29,32,32,800,354,13.51559502,3.970981954203102e-09
EQP,0.999999,29,32,32,820,354,13.515449248,3.970981954203102e-09
EQP,0.999999,29,32,32,840,354,13.525499385,3.970981954203102e-09
EQP,0.999999,29,32,32,860,354,13.509486807,3.970981954203102e-09
EQP,0.999999,29,32,32,880,354,13.520490544,3.970981954203102e-09
EQP,0.999999,29,32,32,900,354,13.507923056,3.970981954203102e-09
EQP,0.999999,29,32,32,920,354,13.5138331,3.970981954203102e-09
EQP,0.999999,29,32,32,940,354,13.437346764,3.970981954203102e-09
EQP,0.999999,29,32,32,960,354,13.447082627,3.970981954203102e-09
EQP,0.999999,29,32,32,980,354,13.507236778,3.970981954203102e-09
EQP,0.999999,29,32,32,1000,354,13.444549374,3.970981954203102e-09
EQP,0.999999,29,32,32,1020,354,13.513976238,3.970981954203102e-09
EQP,0.999999,29,32,32,1040,354,13.513265698,3.970981954203102e-09
EQPGlobal,1,,,,1040,,,
EQP,1,,,,20,,,
EQP,1,,,,40,,,
EQP,1,,,,60,,,
EQP,1,,,,80,,,
EQP,1,,,,100,,,
EQP,1,,,,120,,,
EQP,1,,,,140,,,
EQP,1,,,,160,,,
EQP,1,,,,180,,,
EQP,1,,,,200,,,
EQP,1,,,,220,,,
EQP,1,,,,240,,,
EQP,1,,,,260,,,
EQP,1,,,,280,,,
EQP,1,,,,300,,,
EQP,1,,,,320,,,
EQP,1,,,,340,,,
EQP,1,,,,360,,,
EQP,1,,,,380,,,
EQP,1,,,,400,,,
EQP,1,,,,420,,,
EQP,1,,,,440,,,
EQP,1,,,,460,,,
EQP,1,,,,480,,,
EQP,1,,,,500,,,
EQP,1,,,,520,,,
EQP,1,,,,540,,,
EQP,1,,,,560,,,
EQP,1,,,,580,,,
EQP,1,,,,600,,,
EQP,1,,,,620,,,
EQP,1,,,,640,,,
EQP,1,,,,660,,,
EQP,1,,,,680,,,
EQP,1,,,,700,,,
EQP,1,,,,720,,,
EQP,1,,,,740,,,
EQP,1,,,,760,,,
EQP,1,,,,780,,,
EQP,1,,,,800,,,
EQP,1,,,,820,,,
EQP,1,,,,840,,,
EQP,1,,,,860,,,
EQP,1,,,,880,,,
EQP,1,,,,900,,,
EQP,1,,,,920,,,
EQP,1,,,,940,,,
EQP,1,,,,960,,,
EQP,1,,,,980,,,
EQP,1,,,,1000,,,
EQP,1,,,,1020,,,
EQP,1,,,,1040,,,
