method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
qdeim,0.5,0.99,100,72,5,1280,2752,2176,1856,1920,1664,1536,1792,1792,2048,1856,2560,1920,2688,2496,2176,2496,1728,2112,1920,1408,2624,2112,2624,3200,2112,1920,2688,2112,2752,2048,2048,1728,2816,2368,2752,3712,2304,2304,3072,2496,2560,2496,2752,3264,2432,2496,2240,2432,2240,2432,2240,3136,3264,2112,2432,2688,2496,3008,2752,2432,2368,2304,2368,2816,2560,2816,2816,2368,2752,2752,2048,30.8156,0.000183074,0.038464,0.00087895
gnat,0.5,0.99,100,72,5,1408,2496,1792,2368,2176,1792,2240,1600,2176,1984,2240,1536,1984,2112,2560,2560,2368,1792,2176,1984,1856,1792,1984,2688,2496,2368,2112,2496,1792,2112,2496,2432,1920,2304,1728,2304,1984,2112,2560,3328,2304,1984,1536,2048,2496,3136,1984,1856,2560,2112,2176,2048,2624,2752,2176,2240,2432,2368,2880,2624,2432,2368,2304,2176,2304,2560,2304,2688,2304,2688,2304,2240,,0.275655,688.112,48485.7
sopt,0.5,0.99,100,72,6,2496,3648,3968,3968,3200,4032,3904,3712,3648,4224,3840,3840,4288,3840,4160,4352,3968,4224,3712,4416,3520,4672,3712,4288,4608,4608,3328,3840,2944,3904,3328,3136,3072,4544,4160,3968,4352,4160,2560,3904,4160,4160,4160,4480,4864,4288,5632,4352,4096,3904,4544,3648,4096,4288,3776,3584,3392,3392,3456,3520,3584,2880,3200,3712,3648,3520,3392,4032,4032,4160,3392,5056,,0.331116,22.3193,2.53534
qdeim,0.5,0.99,100,72,6,1472,2880,2176,2112,2112,1856,1600,2048,2112,2048,2112,2816,2112,3328,2624,2688,2880,2176,2624,2368,1472,3136,2368,2752,3264,2624,2048,3008,2432,3200,2752,2368,1920,3328,2560,2880,4160,2560,2752,3648,2496,2816,2688,3008,3776,2944,2880,2368,2816,2496,2880,2496,3456,3584,2240,2688,2816,2752,3392,3328,2880,2816,2688,2816,3264,3136,2944,3392,2752,3264,3136,2496,35.266,5.51462e-05,0.0087379,0.000445088
gnat,0.5,0.99,100,72,6,1728,2880,2048,2752,2496,2048,2560,1728,2432,2432,2560,1728,2368,2432,2944,2944,2752,2048,2496,2368,2048,1984,2176,2944,2944,2816,2496,2880,2048,2432,2816,2880,2112,2752,2048,2752,2240,2432,2944,3968,2496,2240,1728,2240,2880,3712,2240,2112,2880,2368,2560,2240,2880,3072,2432,2560,2624,2816,3456,3136,2880,2752,2752,2496,2752,3072,2752,3136,2752,3264,2752,2688,,0.389005,183.348,7794.52
sopt,0.5,0.99,100,72,7,2816,4096,4416,4672,3968,4480,4352,4224,4352,4928,4224,4224,4928,4480,4672,4800,4544,4928,4160,4736,4096,5184,4672,4992,5248,5056,4032,4288,3264,4224,3904,4416,3968,4864,4864,4416,5120,4992,3200,4416,4928,4800,4928,5184,5504,4736,6400,5696,4800,4416,5312,4160,5120,4864,4224,4032,3968,4032,4096,4032,4288,3328,3648,4096,4096,4160,4032,4480,4544,4928,3968,5440,,0.324088,26.8526,6.08324
qdeim,0.5,0.99,100,72,7,1536,2944,2304,2688,2496,2048,1728,2176,2368,2048,2240,2880,2368,3968,2624,3264,3264,2368,3072,2624,1536,3328,2624,3072,3328,3008,2176,3200,2816,3584,2816,2624,2240,3520,2560,2880,4288,2752,3200,4096,2496,3520,2944,3328,4352,3264,3264,2368,3328,2624,3200,3008,3904,3776,2560,3072,3328,3200,3584,3968,3264,3200,3200,3328,3776,3584,3392,3648,3136,3648,3456,2688,35.9797,3.00584e-05,0.00700256,0.000192178
gnat,0.5,0.99,100,72,7,1920,3264,2304,3136,2816,2304,2816,1856,2752,2752,2816,1920,2752,2752,3264,3328,3200,2304,2816,2688,2304,2368,2368,3328,3328,3200,2816,3200,2304,2752,3264,3200,2368,3200,2304,3136,2432,2752,3264,4544,2880,2432,1856,2432,3264,4160,2432,2304,3264,2752,2816,2432,3200,3328,2752,2816,2880,3200,4032,3648,3264,3200,3200,2752,3200,3584,3200,3584,3200,3648,3200,3136,,0.332177,3236.26,80045.9
sopt,0.5,0.99,100,72,8,3392,4672,5248,5952,4608,5120,4992,4864,5632,5440,4672,5056,6144,4864,5056,5248,5056,5632,4928,5376,4544,5760,5120,5440,5888,5888,4544,4992,3968,4544,4544,5440,4736,5632,5888,4992,5568,5760,3584,5184,6080,5952,5504,6272,6464,5696,6976,6400,5376,5184,6592,4864,6144,5632,4992,4352,4672,4736,4544,4672,4992,3840,4032,4608,4864,4672,4544,4992,5248,5376,4480,5824,,0.309026,6.00828,0.639127
qdeim,0.5,0.99,100,72,8,1664,3136,2432,2880,2688,2176,1792,2368,2496,2048,2304,2880,2624,4416,2688,3584,3648,2432,3328,2752,1664,3456,2880,3584,3392,3200,2240,3392,2944,3840,3072,2944,2496,3968,3072,2880,4608,3200,3584,4480,2496,3776,3200,3648,4672,3712,3520,2560,3648,2880,3520,3456,4032,4096,3008,3648,3712,3392,4160,4352,3776,3392,3584,3840,4288,3968,3712,4096,3648,3712,3648,3008,37.4176,1.77067e-05,0.00275125,8.55843e-05
gnat,0.5,0.99,100,72,8,2048,3584,2560,3584,3072,2560,3072,2048,3072,3072,3072,2048,3072,3072,3584,3584,3584,2560,3072,3072,2560,2560,2560,3584,3584,3584,3072,3584,2560,3072,3584,3584,2560,3584,2560,3584,2560,3072,3584,5120,3072,2560,2048,2560,3584,4608,2560,2560,3584,3072,3072,2560,3584,3584,3072,3072,3072,3584,4608,4096,3584,3584,3584,3072,3584,4096,3584,4096,3584,4096,3584,3584,,0.332756,9038.19,
