qdeim,0.3,0.999,20,121,6,1856,1984,2176,3072,2816,2944,2496,2944,2816,4864,2496,2368,2944,4480,3712,3008,2496,3520,2496,3200,2112,3392,1984,3072,2240,3328,2304,2048,2432,2496,3200,1920,2880,2240,2560,2560,3200,3456,2688,2048,2560,2112,3264,2048,1984,3072,3072,2752,2304,3008,3840,3648,4288,4160,3968,3392,4032,2688,2560,3584,3264,3520,4224,5248,3712,4160,3008,3840,3264,2368,1984,1984,3456,3072,2880,1856,2944,2880,2624,2496,2624,3136,2048,2624,2752,3392,2304,2624,2240,1728,2176,2496,1664,2304,2496,3008,3008,3392,2944,4352,2624,2688,2432,2944,2368,2496,2048,2112,2240,3520,3136,3072,1984,1984,2048,2240,2560,3136,2816,2880,3392,14.7369,5.70974e-08,3.0484e-06,6.35657e-07
gnat,0.3,0.999,20,121,6,1472,1920,2176,2240,2176,2496,1920,2176,2432,2048,2112,1728,2560,4352,2944,2624,2240,1920,2112,2688,1728,3008,2112,2560,2944,1664,2368,2240,2112,2176,2304,1728,2176,2432,2560,2176,1792,2112,2496,2560,2240,1344,2624,1792,2560,3776,2624,2112,1920,1792,2560,3264,2560,3328,2880,4224,2560,2048,3136,2752,2496,3072,3520,3776,3008,2432,2944,4096,4608,2816,2368,2048,2816,2688,2432,3072,2048,1856,2176,2112,1856,2496,2752,2624,2496,2560,2112,2048,2752,1344,2048,1664,1984,2304,2688,2496,2176,2944,2816,3136,2496,2432,2048,2752,2048,2176,1728,1664,2048,2816,2816,2944,2112,2048,1984,1664,2496,2176,2816,2816,2048,13.6991,2.31109e-08,6.86442e-06,7.63368e-07
sopt,0.3,0.999,20,121,7,3200,4864,6016,4800,4608,5312,4288,4544,4672,4480,4480,4288,5056,4928,4992,3520,3968,4928,4160,3520,3072,4160,4160,5184,4416,4224,3840,3968,4160,4864,3072,2752,4544,4160,4160,2880,3008,4352,4992,5248,4544,3008,4352,4096,4928,3776,4224,4608,4544,5120,4480,5120,3584,5184,4096,4352,3648,3328,5184,5120,3584,3584,5248,5184,5760,4288,5312,4352,5760,2944,4800,2816,5056,3520,4544,4288,4864,4992,3776,4736,5632,4736,3648,4224,4480,4288,3968,4864,4544,3264,3328,3136,2688,3200,3776,5440,5184,4800,5632,4544,4800,4608,5184,4608,4544,5056,3328,3200,3456,5696,5440,5888,5184,3456,3264,2880,4160,4864,5120,4480,4288,18.3675,1.85515e-08,7.4626e-06,1.41199e-07
qdeim,0.3,0.999,20,121,7,2176,1984,2432,3136,3200,3136,2880,3328,3072,5312,2944,2368,3392,5440,3968,3328,2880,3776,2688,3456,2432,4096,1984,3456,2368,3776,2432,2112,2624,2624,3456,2112,3072,2496,2688,3072,3456,3584,3136,2176,2752,2368,3968,2176,2240,3136,3456,3136,2944,3264,4160,4224,4736,4736,4224,3840,4544,2880,2816,3968,3264,3840,4864,5568,4224,4608,3584,4288,3392,2496,2048,2304,3712,3392,2944,1984,3264,3264,2944,2944,2880,3200,2176,2880,2816,3840,2560,2816,2304,1856,2560,2880,1920,2688,2816,3328,3392,4032,3392,5120,3072,2944,2752,3328,2752,2752,2432,2432,2624,4352,3584,3648,2240,2240,2368,2560,3008,3584,3136,3328,3904,15.8773,5.35487e-08,2.95789e-06,5.4913e-07
gnat,0.3,0.999,20,121,7,1536,1984,2368,2432,2368,2816,1984,2496,2688,2304,2304,1920,2816,4800,3264,2880,2368,1984,2432,2880,1920,3328,2304,2880,3264,1920,2432,2432,2368,2432,2432,1920,2368,2496,2880,2368,1920,2368,2880,2880,2432,1472,2880,1856,2752,4160,2816,2368,1984,1920,2816,3712,2816,3776,3200,4736,2816,2304,3328,3200,2816,3648,4096,4160,3328,2752,3264,4608,5120,3200,2688,2304,3200,3136,2752,3584,2304,1920,2368,2368,1984,2816,3200,2880,2816,2752,2368,2304,3200,1408,2304,1856,2240,2688,3136,2816,2368,3264,3200,3648,2816,2752,2304,3136,2304,2368,1920,1920,2304,3264,3200,3264,2368,2304,2304,1856,2752,2368,3200,3264,2368,13.5457,2.14514e-08,6.84347e-06,7.65433e-07
sopt,0.3,0.999,20,121,8,4032,5568,6336,5312,5120,5952,5440,5440,5184,5440,5056,5504,5824,5696,5440,4160,4544,5824,5056,4160,3648,4800,4608,5888,5312,4928,4864,4928,4544,5568,3584,3648,5632,4928,4928,3520,3584,4864,5504,5568,5184,3648,4672,4736,5760,4480,4800,5184,5440,5824,5376,5824,4544,5888,5312,4992,4608,4160,6336,6080,4608,4160,5440,5696,6208,5056,5888,5184,6720,3328,5120,3392,5632,4416,5440,4928,5440,5312,4992,5312,6080,4928,4288,4800,5056,4480,4096,5568,5248,3904,3968,3776,3328,3776,4736,6144,5824,5376,6208,4992,5568,5248,5568,4864,5120,5824,3904,3840,3968,6208,6080,7040,6208,3776,3776,3392,4800,5376,5760,5504,5056,20.7389,1.78207e-08,7.40645e-06,1.38839e-07
qdeim,0.3,0.999,20,121,8,2432,2176,2816,3392,3200,3456,2944,3392,3200,6016,3200,2688,3840,5632,4096,3904,3264,3776,2816,3712,2816,4416,1984,3712,2624,3968,2944,2112,3008,2688,3584,2432,3264,2816,3008,3648,3712,3968,3712,2240,3392,2496,4224,2240,2688,3392,3840,3328,3456,3392,4288,4608,4992,5120,4864,4032,4992,3072,2816,3968,3392,4160,5120,6208,4480,5120,4032,4864,3712,2496,2112,2624,3776,4096,3328,2176,3584,3520,3328,3456,3328,3392,2240,3328,2880,4416,2752,3136,2496,1984,2816,3264,2112,3008,3008,3712,3904,4480,3712,5632,3456,3136,3008,3712,3136,3072,2816,2560,2688,4800,3904,4160,2880,2432,2688,2816,3328,4032,3584,3712,4224,15.4337,5.05371e-08,2.83504e-06,5.12879e-07
gnat,0.3,0.999,20,121,8,1536,2048,2560,2560,2560,3072,2048,2560,3072,2560,2560,2048,3072,5120,3584,3072,2560,2048,2560,3072,2048,3584,2560,3072,3584,2048,2560,2560,2560,2560,2560,2048,2560,2560,3072,2560,2048,2560,3072,3072,2560,1536,3072,2048,3072,4608,3072,2560,2048,2048,3072,4096,3072,4096,3584,5120,3072,2560,3584,3584,3072,4096,4608,4608,3584,3072,3584,5120,5632,3584,3072,2560,3584,3584,3072,4096,2560,2048,2560,2560,2048,3072,3584,3072,3072,3072,2560,2560,3584,1536,2560,2048,2560,3072,3584,3072,2560,3584,3584,4096,3072,3072,2560,3584,2560,2560,2048,2048,2560,3584,3584,3584,2560,2560,2560,2048,3072,2560,3584,3584,2560,14.433,2.05865e-08,6.78205e-06,7.65741e-07
sopt,0.3,0.999,20,121,9,4480,5952,6976,5952,5568,7040,6080,6592,5504,6080,6208,6208,6720,6208,6080,5056,5568,6656,6208,5184,4032,5888,5120,6656,5824,5248,5760,5824,5056,6016,4352,4288,6336,6080,5888,4352,4224,5376,5952,6016,5888,4544,5184,5248,6144,4992,5120,5504,6272,6592,6528,6336,5440,6848,6080,6080,5376,4672,7104,6656,5184,5120,5824,6400,6784,6208,6592,5632,7616,3456,5632,4288,6016,5120,6592,5504,5632,5952,5568,5632,6720,5504,5312,5952,5696,4992,4928,5824,6464,4352,4608,4736,4288,4736,5312,7168,6400,6464,6720,5760,6848,6400,6144,5376,5632,6656,4736,4800,4864,6720,6464,7488,7104,4416,4544,4032,5568,6016,6400,6208,5696,22.1957,1.77278e-08,7.24284e-06,1.37439e-07
qdeim,0.3,0.999,20,121,9,2688,2432,2816,3456,3264,4032,3008,3392,3520,6336,3584,2880,4352,5888,4096,4288,3456,3840,3008,3968,3008,4544,2112,3840,2752,4032,3072,2304,3264,2688,3712,2816,3456,3072,3200,4032,3712,4352,3904,2240,3776,2560,4672,2240,2944,3520,3968,3456,3776,3648,4608,5248,5120,5504,5376,4352,5248,3136,2944,4032,3648,4352,5248,6720,4800,5504,4160,4992,3904,2688,2560,2944,3840,4608,3648,2240,3904,3968,3648,3584,3584,3904,2560,3712,3072,4800,2944,3456,2688,2240,2944,3584,2496,3328,3264,4544,4288,4928,4032,6208,3840,3328,3392,4096,3584,3392,3136,2816,2880,5120,4160,4608,3200,2624,2944,2944,3712,4480,4096,3968,4416,16.0334,4.78108e-08,3.14417e-06,5.11773e-07
gnat,0.3,0.999,20,121,9,1664,1792,2688,2688,2688,3200,2304,2624,3072,3200,2816,2176,3200,5184,3840,3264,2624,1856,2624,3072,2304,3712,2688,3200,3264,2624,3008,2624,3200,2816,2688,2176,2624,2624,3136,2752,2304,2816,3136,3200,2752,1664,3584,2112,3712,4800,3072,2688,2240,2304,3136,4288,3136,4224,3840,5376,3264,2816,3712,3776,3264,4416,4672,4672,3840,3264,3584,5312,5760,3648,3264,2816,3776,3904,3776,4160,3392,2304,2752,2624,2752,3392,3776,3264,3200,3264,2624,2688,3200,1792,2816,2240,2752,3328,4288,3776,2752,3776,3648,3264,3264,2752,2688,3712,2944,1920,2240,2176,2240,3776,3840,3904,2944,2752,2816,2240,3264,3200,3648,3840,2816,14.7492,2.06156e-08,5.47387e-06,5.97663e-07
