method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,5,0.999999,6,20,18,10,7.188542,8.482481,0.123717,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,10,7.904032,8.687271,0.173601,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,15,5.997678,8.082593,0.145255,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,15,5.491156,7.774479,0.150125,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,20,5.236251,5.580353,0.153876,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,20,4.820924,6.819900,0.160482,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,25,5.091377,6.226220,0.170657,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,25,4.986059,8.763224,0.176929,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,30,3.814357,4.932036,0.179357,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,30,3.434894,5.787915,0.195689,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,35,3.908960,5.981050,0.184216,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,35,4.031595,5.286313,0.203123,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,40,4.059166,4.233161,0.209456,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,40,3.554875,5.815461,0.221586,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,45,3.962595,4.158396,0.222139,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,45,3.401913,4.246017,0.233165,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,50,3.980934,4.284254,0.238589,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,50,3.183941,4.109515,0.249165,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,55,3.591743,4.666914,0.253695,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,55,3.750622,4.335196,0.263415,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,60,2.700425,4.557919,0.26133,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,60,3.039398,4.293902,0.271046,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,65,3.114804,4.922288,0.268283,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,65,3.097237,3.811056,0.276284,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,70,2.718755,3.703283,0.282992,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,70,2.690688,3.465152,0.287233,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,75,3.052498,3.709999,0.286665,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,75,2.998646,3.791241,0.296661,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,80,2.887591,4.520797,0.299032,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,80,2.971358,3.914747,0.314992,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,85,3.148019,4.342250,0.303577,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,85,2.707298,4.681910,0.314569,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,90,3.337389,4.304664,0.305547,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,90,2.917627,4.128362,0.32389,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,95,2.811888,3.724441,0.306225,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,95,2.661258,3.611563,0.340502,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,100,2.811697,4.320975,0.318901,0.00127361,0.997145,0.0410347
