method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.1,2,6,6,5,45,2.429891,4.703540,0.427265,2.06377e-05,0.00949039,0.00185023
clsgnat,0.1,2,6,6,5,45,7.790830,3.406837,0.269829,0.00127634,,
dopt,0.1,2,6,6,5,45,6.547063,19.792237,0.166956,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,45,9.714546,2726.758382,0.217986,2.267e-05,0.0143064,0.00166627
gnat,0.1,2,6,6,5,45,4.957793,2.951245,0.34719,2.10061e-05,0.0134431,0.00187154
clsdopt,0.1,2,6,6,5,50,6.142435,78.721126,0.191777,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,50,2.687962,3.604692,0.440958,2.07512e-05,0.00951086,0.00185385
clsgnat,0.1,2,6,6,5,50,6.834496,4.816134,0.246664,0.00127634,,
dopt,0.1,2,6,6,5,50,5.651327,19.230877,0.170395,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,50,6700.721609,10.147108,0.20869,2.26674e-05,0.0143066,0.00166622
gnat,0.1,2,6,6,5,50,4.086570,2.780067,0.383154,2.09281e-05,0.0135569,0.00185985
clsdopt,0.1,2,6,6,5,55,6.078406,77.310428,0.203036,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,55,2.707926,3.420009,0.447008,2.09413e-05,0.00975096,0.0018918
clsgnat,0.1,2,6,6,5,55,6.049096,4.870184,0.264893,0.00127634,,
dopt,0.1,2,6,6,5,55,5.819917,26.449593,0.178113,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,55,11.858457,3.128947,0.215245,2.26657e-05,0.014306,0.00166625
gnat,0.1,2,6,6,5,55,4.098862,2.820357,0.416137,2.08772e-05,0.0136576,0.00185297
clsdopt,0.1,2,6,6,5,60,6.183678,2721234.296023,0.214072,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,60,2.994899,3.869966,0.473858,2.09706e-05,0.00978602,0.00189958
clsgnat,0.1,2,6,6,5,60,5.520536,6.129477,0.331842,0.00127634,,
dopt,0.1,2,6,6,5,60,5.537066,28.027427,0.18141,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,60,12.611809,9176.493496,0.217567,2.26648e-05,0.014307,0.00166617
gnat,0.1,2,6,6,5,60,3.739676,3.023599,0.444315,2.08279e-05,0.0136283,0.00185157
clsdopt,0.1,2,6,6,5,65,6.054450,74.149002,0.226999,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,65,3.163323,2.383906,0.476586,2.09827e-05,0.00978815,0.00190161
clsgnat,0.1,2,6,6,5,65,5.624256,4.275627,0.29605,0.00127634,,
dopt,0.1,2,6,6,5,65,6.001208,25.776157,0.182373,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,65,10.494392,3.191687,0.218841,2.33635e-05,0.0137143,0.00166873
gnat,0.1,2,6,6,5,65,3.542057,2.556795,0.464164,2.08244e-05,0.0136169,0.00185073
clsdopt,0.1,2,6,6,5,70,5.962668,77.010211,0.239262,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,70,2.911722,2.613879,0.490063,2.10381e-05,0.01007,0.00191253
clsgnat,0.1,2,6,6,5,70,5.524347,6.817919,0.310301,0.00127634,,
dopt,0.1,2,6,6,5,70,5.583943,32.885867,0.200021,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,70,9.649748,1610.076832,0.240281,1.94086e-05,0.0125892,0.0017266
gnat,0.1,2,6,6,5,70,3.501956,2.701703,0.49264,2.07884e-05,0.0135884,0.00185156
clsdopt,0.1,2,6,6,5,75,6.518326,2778140.346781,0.235902,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,75,3.194939,3.661609,0.5076,2.10837e-05,0.0102026,0.00191857
clsgnat,0.1,2,6,6,5,75,4.901412,5.434870,0.308062,0.00127634,,
dopt,0.1,2,6,6,5,75,5.902648,38.061039,0.201247,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,75,9.179719,2836.383810,0.297394,1.88966e-05,0.0128863,0.0017259
gnat,0.1,2,6,6,5,75,3.452889,2.968663,0.520022,2.0754e-05,0.0135682,0.0018518
clsdopt,0.1,2,6,6,5,80,5.759462,81.451606,0.238219,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,80,2.968987,2.752732,0.505622,2.10973e-05,0.0103013,0.00193262
clsgnat,0.1,2,6,6,5,80,5.109601,4.367348,0.338123,0.00127634,,
dopt,0.1,2,6,6,5,80,6.739820,27.117406,0.205109,0.00127361,0.997145,0.0410346
