method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.05,4,7,36,53,70,7.108662,5.944742,0.664215,3.44598e-06,0.00043317,3.57208e-05
qdeim,0.05,4,7,36,53,70,14.495340,9.984968,0.707809,3.76852e-06,0.00058081,5.43381e-05
sopt,0.05,4,7,36,53,80,6.242332,7.181893,0.72621,4.56242e-06,0.000548151,5.71312e-05
qdeim,0.05,4,7,36,53,80,13.672025,9.829283,0.741418,5.73369e-06,0.000713711,7.66176e-05
sopt,0.05,4,7,36,53,90,6.422691,9.141090,0.741308,6.66417e-06,0.000742754,9.48918e-05
qdeim,0.05,4,7,36,53,90,14.564601,12.960216,0.78187,4.38259e-06,0.000603291,6.59792e-05
sopt,0.05,4,7,36,53,100,5.737803,7.281046,0.793376,6.05669e-06,0.000735846,0.000102994
qdeim,0.05,4,7,36,53,100,13.591241,8.514231,0.803708,1.61149e-06,0.000475768,3.20243e-05
sopt,0.05,4,7,36,53,110,5.599412,7.456556,1.13184,4.90848e-06,0.000564988,7.3103e-05
qdeim,0.05,4,7,36,53,110,9.917484,7.166077,0.844796,1.67036e-06,0.000485516,3.21289e-05
sopt,0.05,4,7,36,53,120,4.829400,8.666108,0.843951,4.92351e-06,0.000561884,7.43642e-05
qdeim,0.05,4,7,36,53,120,8.449656,12.964180,0.84188,2.13486e-06,0.000493232,4.43793e-05
sopt,0.05,4,7,36,53,130,4.904533,8.287219,0.895169,4.93298e-06,0.000576202,7.39453e-05
qdeim,0.05,4,7,36,53,130,10.623069,7.036365,0.849996,1.68252e-06,0.000455977,4.00422e-05
sopt,0.05,4,7,36,53,140,5.353798,8.280038,0.91881,4.4873e-06,0.000525604,6.17609e-05
qdeim,0.05,4,7,36,53,140,9.874778,6.725214,0.870186,1.44791e-06,0.000417805,3.09023e-05
sopt,0.05,4,7,36,53,150,4.718656,7.708206,0.944453,4.49337e-06,0.000509952,5.4515e-05
qdeim,0.05,4,7,36,53,150,9.235905,7.724623,0.925831,1.44112e-06,0.000408605,3.03006e-05
sopt,0.05,4,7,36,53,160,4.721448,7.823938,0.957986,4.56982e-06,0.000517885,5.96275e-05
qdeim,0.05,4,7,36,53,160,8.429126,7.314424,0.914762,1.47801e-06,0.0003949,2.89346e-05
sopt,0.05,4,7,36,53,170,4.459449,7.229098,0.995929,4.13938e-06,0.000489701,5.47623e-05
qdeim,0.05,4,7,36,53,170,7.743320,6.103448,0.952465,1.56481e-06,0.000413028,2.90894e-05
sopt,0.05,4,7,36,53,180,4.346684,10.353265,1.01729,3.57946e-06,0.00044741,4.64654e-05
qdeim,0.05,4,7,36,53,180,8.284180,13.477389,0.961298,1.55526e-06,0.000406189,2.84583e-05
sopt,0.05,4,7,36,53,190,4.300469,7.996209,1.04264,3.37954e-06,0.000438828,4.17682e-05
qdeim,0.05,4,7,36,53,190,6.535826,5.724872,0.987455,1.79304e-06,0.000401179,2.75247e-05
sopt,0.05,4,7,36,53,200,4.099241,7.724933,1.07265,3.43226e-06,0.00043625,4.02489e-05
qdeim,0.05,4,7,36,53,200,6.525842,6.556723,1.02724,1.73016e-06,0.000398402,2.69588e-05
sopt,0.05,5,7,46,62,10,33.250685,24.184717,0.484975,5.09664e-05,0.021344,0.00266998
qdeim,0.05,5,7,46,62,10,44.356377,34.492794,,0.00549604,4.88199,0.854265
sopt,0.05,5,7,46,62,20,18.616151,15.274850,0.558166,1.51944e-05,0.00238055,0.000396641
qdeim,0.05,5,7,46,62,20,29.127352,23.952368,0.497546,7.96332e-05,0.03819,0.00456576
sopt,0.05,5,7,46,62,30,17.338893,9.422610,0.596331,6.266e-05,0.0102449,0.00162376
qdeim,0.05,5,7,46,62,30,19.937702,19.672971,0.56103,1.3437e-05,0.00590621,0.000620088
sopt,0.05,5,7,46,62,40,10.429836,9.082385,0.637098,8.3373e-06,0.000618325,0.000103367
qdeim,0.05,5,7,46,62,40,17.117845,13.662790,0.59194,0.000121016,0.0551811,0.00765131
sopt,0.05,5,7,46,62,50,10.157355,7.550033,0.668074,5.49935e-06,0.000435209,7.04117e-05
qdeim,0.05,5,7,46,62,50,14.344738,12.803380,0.645977,2.29017e-05,0.00714607,0.000927849
sopt,0.05,5,7,46,62,60,7.532345,6.800242,0.724448,3.1306e-06,0.00038703,4.28676e-05
qdeim,0.05,5,7,46,62,60,13.220638,14.609360,0.69431,1.33194e-05,0.00332455,0.000410748
sopt,0.05,5,7,46,62,70,7.149107,6.913561,0.763961,5.82872e-06,0.00052708,5.6747e-05
qdeim,0.05,5,7,46,62,70,13.089982,13.168450,0.742669,9.06756e-06,0.0018693,0.000242421
sopt,0.05,5,7,46,62,80,7.465881,6.668463,0.765726,7.22769e-06,0.000597011,7.45461e-05
qdeim,0.05,5,7,46,62,80,10.752943,10.704358,0.786129,5.12457e-06,0.00100228,0.000148852
sopt,0.05,5,7,46,62,90,6.273443,6.640262,0.810791,9.64258e-06,0.000808064,0.000105542
qdeim,0.05,5,7,46,62,90,9.807031,10.623382,0.796227,3.03495e-06,0.00052106,7.46916e-05
sopt,0.05,5,7,46,62,100,5.997906,6.448401,0.840879,1.18005e-05,0.00100679,0.000123375
qdeim,0.05,5,7,46,62,100,9.072735,10.202395,0.82965,3.07469e-06,0.000477905,5.90505e-05
sopt,0.05,5,7,46,62,110,6.179964,7.231801,0.890603,4.6117e-06,0.000480846,4.80409e-05
qdeim,0.05,5,7,46,62,110,8.475394,9.502889,0.879378,2.47799e-06,0.000439644,3.93031e-05
sopt,0.05,5,7,46,62,120,5.521543,6.514180,0.917926,3.22429e-06,0.000430907,3.68897e-05
qdeim,0.05,5,7,46,62,120,8.859986,10.307983,0.895104,2.45475e-06,0.000421284,3.02272e-05
