p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.4,clsthQDEIM,3,0.9999,19,21,21,59,4.818235,1.064302655,0.0004894461078884559
0.4,thQDEIM,3,0.9999,19,21,21,59,4.356998,1.092432192,0.0009928052717009315
,SOPT,3,0.9999,19,21,21,61,3.317336,1.227149842,0.0002160646370502662
0.4,clsthSOPT,3,0.9999,19,21,21,61,3.895075,1.187572932,0.0003461382853377775
0.4,thSOPT,3,0.9999,19,21,21,61,3.754804,1.216574531,0.0002160646370491875
1,QDEIM,3,0.9999,19,21,21,61,3.639962,1.239145952,0.0006313809992749165
0.4,clsthQDEIM,3,0.9999,19,21,21,61,4.201602,1.098054798,0.0002902916766317653
0.4,thQDEIM,3,0.9999,19,21,21,61,3.907488,1.136173176,0.0003700890632321575
,SOPT,3,0.9999,19,21,21,63,3.790536,1.246377564,0.0002524174739508686
0.4,clsthSOPT,3,0.9999,19,21,21,63,3.234271,1.248302206,0.0004734426942013385
0.4,thSOPT,3,0.9999,19,21,21,63,3.748817,1.242605244,0.0002524174739502098
1,QDEIM,3,0.9999,19,21,21,63,3.654379,1.280608913,0.0002213514387814087
0.4,clsthQDEIM,3,0.9999,19,21,21,63,3.595702,1.104785505,0.0002112633085527885
0.4,thQDEIM,3,0.9999,19,21,21,63,5.019725,1.176339551,0.0002834062601354337
,SOPT,3,0.9999,19,21,21,65,3.614628,1.273094149,0.0002680118326319823
0.4,clsthSOPT,3,0.9999,19,21,21,65,4.008952,1.25440981,0.0004514717193029627
0.4,thSOPT,3,0.9999,19,21,21,65,3.441488,1.273211268,0.0002680118326317636
1,QDEIM,3,0.9999,19,21,21,65,4.061254,1.310768226,0.0002353899644141979
0.4,clsthQDEIM,3,0.9999,19,21,21,65,3.954155,1.119641251,0.0001920697424108162
0.4,thQDEIM,3,0.9999,19,21,21,65,3.595509,1.208133584,0.0003589893714984032
,SOPT,3,0.9999,19,21,21,67,3.862337,1.305495712,0.0001932842611781402
0.4,clsthSOPT,3,0.9999,19,21,21,67,3.875465,1.263979631,0.0003249444207460056
0.4,thSOPT,3,0.9999,19,21,21,67,3.174114,1.302134901,0.0001932842611785297
1,QDEIM,3,0.9999,19,21,21,67,3.399996,1.347751551,0.0001976888853377519
0.4,clsthQDEIM,3,0.9999,19,21,21,67,3.547233,1.169608886,0.0001841243158736569
0.4,thQDEIM,3,0.9999,19,21,21,67,4.083365,1.261283438,0.0002802972492521966
,SOPT,3,0.9999,19,21,21,69,3.535207,1.333766888,0.000223936568903391
0.4,clsthSOPT,3,0.9999,19,21,21,69,3.611945,1.289582097,0.0003628247685632746
0.4,thSOPT,3,0.9999,19,21,21,69,3.858226,1.318442039,0.0002239365689028404
1,QDEIM,3,0.9999,19,21,21,69,3.211978,1.365280841,0.0001250012295303337
0.4,clsthQDEIM,3,0.9999,19,21,21,69,3.411995,1.17649185,0.0001499950634911459
0.4,thQDEIM,3,0.9999,19,21,21,69,4.049878,1.279763478,0.0002411221362691577
,SOPT,3,0.9999,19,21,21,71,4.381298,1.36798259,0.000243610695968845
0.4,clsthSOPT,3,0.9999,19,21,21,71,3.637370,1.299474573,0.0004322164824899884
0.4,thSOPT,3,0.9999,19,21,21,71,4.409218,1.340264035,0.0002436106959688372
1,QDEIM,3,0.9999,19,21,21,71,3.222949,1.404122137,0.0002899612159615341
0.4,clsthQDEIM,3,0.9999,19,21,21,71,3.503078,1.208297722,0.0001421753467663515
0.4,thQDEIM,3,0.9999,19,21,21,71,3.322012,1.299370705,0.0001190263256457678
,SOPT,3,0.9999,19,21,21,73,3.430048,1.39512429,0.0002863021684056941
0.4,clsthSOPT,3,0.9999,19,21,21,73,3.596067,1.304854207,0.000375845664490645
0.4,thSOPT,3,0.9999,19,21,21,73,3.420844,1.384208468,0.0002863021684054768
1,QDEIM,3,0.9999,19,21,21,73,3.438007,1.407194101,0.0002683199750374168
0.4,clsthQDEIM,3,0.9999,19,21,21,73,3.749393,1.215405701,0.0001372272936993426
0.4,thQDEIM,3,0.9999,19,21,21,73,3.427369,1.320301474,0.0003249503043877184
,SOPT,3,0.9999,19,21,21,75,3.615735,1.405292722,0.000276390644823025
0.4,clsthSOPT,3,0.9999,19,21,21,75,4.119149,1.334850358,0.0004069850539126604
0.4,thSOPT,3,0.9999,19,21,21,75,3.717652,1.409358852,0.0002763906448230418
1,QDEIM,3,0.9999,19,21,21,75,3.265576,1.43320494,0.000266830804437172
0.4,clsthQDEIM,3,0.9999,19,21,21,75,3.605024,1.229090184,0.0001370049238890251
0.4,thQDEIM,3,0.9999,19,21,21,75,3.807283,1.355065373,0.0003379545163657071
,SOPT,3,0.9999,19,21,21,77,3.459694,1.435512281,0.0002551775712732018
0.4,clsthSOPT,3,0.9999,19,21,21,77,3.423742,1.373867423,0.0003369459292776783
0.4,thSOPT,3,0.9999,19,21,21,77,3.620701,1.454395736,0.0002551775712732128
1,QDEIM,3,0.9999,19,21,21,77,3.628546,1.45708525,0.0002682283500185191
0.4,clsthQDEIM,3,0.9999,19,21,21,77,3.183875,1.247297918,0.0001797278176953936
0.4,thQDEIM,3,0.9999,19,21,21,77,3.572600,1.380360033,0.0003473373456516925
,SOPT,3,0.9999,19,21,21,79,3.490957,1.471159006,0.0002341400720426502
0.4,clsthSOPT,3,0.9999,19,21,21,79,3.714764,1.388400703,0.0003260846194612519
0.4,thSOPT,3,0.9999,19,21,21,79,3.570559,1.457670328,0.0002341400720413467
1,QDEIM,3,0.9999,19,21,21,79,3.010744,1.472944359,0.0002723834859416664
0.4,clsthQDEIM,3,0.9999,19,21,21,79,3.378006,1.279069655,9.872273644393774e-05
0.4,thQDEIM,3,0.9999,19,21,21,79,3.306692,1.414211891,0.0003236992703722491
,SOPT,3,0.9999,19,21,21,81,3.237392,1.487264094,0.0002127570146686308
0.4,clsthSOPT,3,0.9999,19,21,21,81,3.410908,1.388766532,0.0002109537005282402
0.4,thSOPT,3,0.9999,19,21,21,81,3.527497,1.468110377,0.0002127570146684191
1,QDEIM,3,0.9999,19,21,21,81,2.970065,1.524605411,0.0003885624668800481
0.4,clsthQDEIM,3,0.9999,19,21,21,81,3.098156,1.287978404,0.0004152204710897334
0.4,thQDEIM,3,0.9999,19,21,21,81,3.396172,1.431414129,0.0002786850229771251
,SOPT,3,0.9999,19,21,21,23,31.227901,0.6292807039999999,0.0003701191790682943
0.3,clsthSOPT,3,0.9999,19,21,21,23,42.877951,0.6017637450000001,0.0016754640073866
0.3,thSOPT,3,0.9999,19,21,21,23,48.040129,0.630657398,0.0003701191790693632
1,QDEIM,3,0.9999,19,21,21,23,28.023074,0.6278429910000001,0.0002080659983241926
0.3,clsthQDEIM,3,0.9999,19,21,21,23,33.699037,0.5821480649999999,0.00290052260787191
0.3,thQDEIM,3,0.9999,19,21,21,23,21.751426,0.626048696,0.0002233693278309565
,SOPT,3,0.9999,19,21,21,25,23.059626,0.663637813,0.0001162585406153712
0.3,clsthSOPT,3,0.9999,19,21,21,25,9.609759,0.63723517,0.001559223857079376
0.3,thSOPT,3,0.9999,19,21,21,25,9.428722,0.662156567,0.0001162585406157323
1,QDEIM,3,0.9999,19,21,21,25,19.112825,0.662150664,0.0003047137631543689
0.3,clsthQDEIM,3,0.9999,19,21,21,25,11.651156,0.614170683,0.002404824044380521
0.3,thQDEIM,3,0.9999,19,21,21,25,17.671766,0.645438462,0.0002345447651870239
,SOPT,3,0.9999,19,21,21,27,12.332072,0.7019819970000001,0.0001694438319742061
0.3,clsthSOPT,3,0.9999,19,21,21,27,11.680761,0.670428511,0.001377442809426876
0.3,thSOPT,3,0.9999,19,21,21,27,14.530223,0.699496934,0.0001694438319743745
1,QDEIM,3,0.9999,19,21,21,27,22.002128,0.694683503,0.0003117690571829636
0.3,clsthQDEIM,3,0.9999,19,21,21,27,9.670447,0.6509707720000001,0.0026913849063091
0.3,thQDEIM,3,0.9999,19,21,21,27,15.089147,0.68753818,0.001120272411947668
,SOPT,3,0.9999,19,21,21,29,9.736606,0.7331164010000001,0.000563095380548564
0.3,clsthSOPT,3,0.9999,19,21,21,29,8.637370,0.6954882410000001,0.0009018480531628563
0.3,thSOPT,3,0.9999,19,21,21,29,13.006449,0.736242088,0.0005630953805481348
1,QDEIM,3,0.9999,19,21,21,29,8.657774,0.734563749,0.000266643081623086
0.3,clsthQDEIM,3,0.9999,19,21,21,29,10.754827,0.688368949,0.003923800509550462
0.3,thQDEIM,3,0.9999,19,21,21,29,10.580698,0.7208992569999999,0.001210153801134222
,SOPT,3,0.9999,19,21,21,31,9.448076,0.758158663,0.0006665527372493055
0.3,clsthSOPT,3,0.9999,19,21,21,31,7.801525,0.730557734,0.0005988803833936897
0.3,thSOPT,3,0.9999,19,21,21,31,6.290025,0.767480818,0.0006665527372490954
1,QDEIM,3,0.9999,19,21,21,31,10.236974,0.74773676,0.0007146900243293877
0.3,clsthQDEIM,3,0.9999,19,21,21,31,7.583248,0.7065171189999999,0.004592491637891402
0.3,thQDEIM,3,0.9999,19,21,21,31,9.016893,0.747723908,0.001177079706415168
,SOPT,3,0.9999,19,21,21,33,7.721130,0.7860021159999999,0.0004431549637903159
0.3,clsthSOPT,3,0.9999,19,21,21,33,5.948654,0.764029897,0.0005542535735115586
0.3,thSOPT,3,0.9999,19,21,21,33,6.457426,0.804426938,0.0004431549637903485
