p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.5,QDEIM,5,0.999999,29,32,32,56,1.80260421,1.064980707530316
0.5,clsQDEIM,5,0.999999,29,32,32,56,1.516225467,0.005086939174231467
0.5,SOPT,5,0.999999,29,32,32,58,1.645832967,0.001047567263467001
0.5,clsSOPT,5,0.999999,29,32,32,58,1.580000593,0.000581415856090408
0.5,QDEIM,5,0.999999,29,32,32,58,,
0.5,clsQDEIM,5,0.999999,29,32,32,58,1.511596441,0.005123350590619681
0.5,SOPT,5,0.999999,29,32,32,60,1.676947894,0.0004872255519881381
0.5,clsSOPT,5,0.999999,29,32,32,60,1.59329943,0.0007181917641861134
0.5,QDEIM,5,0.999999,29,32,32,60,,
0.5,clsQDEIM,5,0.999999,29,32,32,60,1.562622888,0.005130289754460484
0.5,SOPT,5,0.999999,29,32,32,62,1.702447263,0.0003528087591339076
0.5,clsSOPT,5,0.999999,29,32,32,62,1.639164696,0.001010059555851683
0.5,QDEIM,5,0.999999,29,32,32,62,,
0.5,clsQDEIM,5,0.999999,29,32,32,62,1.584801707,0.005049344566064526
0.5,SOPT,5,0.999999,29,32,32,64,1.741482828,0.0001947322519532387
0.5,clsSOPT,5,0.999999,29,32,32,64,1.648797302,0.0008660903081538932
0.5,QDEIM,5,0.999999,29,32,32,64,2.08182888,0.9635038121657393
0.5,clsQDEIM,5,0.999999,29,32,32,64,1.601923932,0.004698993473329608
0.5,SOPT,5,0.999999,29,32,32,66,1.77641527,0.000104276489605842
0.5,clsSOPT,5,0.999999,29,32,32,66,,
0.5,QDEIM,5,0.999999,29,32,32,66,2.042479943,0.3206486571159648
0.5,clsQDEIM,5,0.999999,29,32,32,66,1.615873828,0.004957103124389334
0.5,SOPT,5,0.999999,29,32,32,68,1.797024466,0.0001066986358792439
0.5,clsSOPT,5,0.999999,29,32,32,68,,
0.5,QDEIM,5,0.999999,29,32,32,68,1.871250713,0.018181891914904
0.5,clsQDEIM,5,0.999999,29,32,32,68,1.645983913,0.00427762742191223
0.5,SOPT,5,0.999999,29,32,32,70,1.807271094,9.027997941894138e-05
0.5,clsSOPT,5,0.999999,29,32,32,70,1.714278182,0.0002119612243140167
0.5,QDEIM,5,0.999999,29,32,32,70,1.839189794,0.008496658308826606
0.5,clsQDEIM,5,0.999999,29,32,32,70,1.679265237,0.004150506293332148
0.5,SOPT,5,0.999999,29,32,32,72,1.854780659,0.0001041783287920091
0.5,clsSOPT,5,0.999999,29,32,32,72,1.756673824,0.0004879417964225967
0.5,QDEIM,5,0.999999,29,32,32,72,1.867741965,0.006609503313338404
0.5,clsQDEIM,5,0.999999,29,32,32,72,1.705529082,0.004022482624680181
0.5,SOPT,5,0.999999,29,32,32,74,1.902726353,0.0003048404051342358
0.5,clsSOPT,5,0.999999,29,32,32,74,1.756000425,0.0004551501971634722
0.5,QDEIM,5,0.999999,29,32,32,74,1.93660069,0.01514630425707369
