method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.05,7,8,20,140,2.801166,1.475657,0.794979,2.12309e-05,0.00249632,0.000171257
clsqdeim,0.05,7,8,20,140,2.068175,1.460584,0.910652,1.9169e-05,0.00156213,0.0001705
clsgnat,0.05,7,8,20,140,3293663.081734,2.905274,,nan,nan,nan
sopt,0.05,7,8,20,140,2.839766,2.296132,0.689087,7.41707e-06,0.000622274,5.3486e-05
qdeim,0.05,7,8,20,140,5.028429,2.499709,0.621772,1.98986e-06,0.000304386,4.4204e-05
gnat,0.05,7,8,20,140,4.666168,1.604238,0.421124,5.60181e-06,0.0006033,4.89258e-05
clssopt,0.05,7,8,20,150,4.048794,1.428260,0.81204,1.8859e-05,0.00201136,0.000165713
clsqdeim,0.05,7,8,20,150,2.094396,1.312828,0.80123,2.35026e-05,0.00171749,0.000140212
clsgnat,0.05,7,8,20,150,3392317.566362,1.574442,,5.99148e+42,8.31566e+57,nan
sopt,0.05,7,8,20,150,2.750512,2.292335,0.680538,6.56077e-06,0.000628604,5.41073e-05
qdeim,0.05,7,8,20,150,4.198712,2.380028,0.575418,1.74539e-06,0.000308346,4.30896e-05
gnat,0.05,7,8,20,150,4.264301,1.313119,0.533963,4.77619e-06,0.000694785,6.86905e-05
clssopt,0.05,7,8,20,160,4.632945,1.590392,0.867687,1.6027e-05,0.00203243,0.000197073
clsqdeim,0.05,7,8,20,160,2.064951,1.503927,0.815014,1.94084e-05,0.00142077,9.4231e-05
clsgnat,0.05,7,8,20,160,3148148.694800,948857.620104,1.84867,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,160,3.185105,2.368405,0.736796,6.63513e-06,0.000607089,5.21651e-05
qdeim,0.05,7,8,20,160,4.088930,2.842532,0.568942,1.9173e-06,0.00028968,4.74545e-05
gnat,0.05,7,8,20,160,4.827953,1.812631,0.440846,2.52947e-06,0.000322833,4.6052e-05
clssopt,0.05,7,8,20,170,3.984423,1.442090,0.837482,1.44295e-05,0.00239763,0.000224497
clsqdeim,0.05,7,8,20,170,1.826794,1.297818,0.959761,1.8232e-05,0.0012031,7.08445e-05
clsgnat,0.05,7,8,20,170,3162929.565339,846775.032069,,nan,nan,nan
sopt,0.05,7,8,20,170,2.992139,2.257295,0.740495,6.61349e-06,0.000610331,5.21064e-05
qdeim,0.05,7,8,20,170,3.536501,2.240388,0.607983,2.5036e-06,0.000284514,4.69645e-05
gnat,0.05,7,8,20,170,3.953635,1.483829,0.470855,1.96422e-06,0.000475482,5.45371e-05
clssopt,0.05,7,8,20,180,4.606824,1.335651,0.870341,1.40587e-05,0.00259288,0.00024579
clsqdeim,0.05,7,8,20,180,1.984028,1.297026,0.872479,1.5582e-05,0.00103012,5.79197e-05
clsgnat,0.05,7,8,20,180,2983857.658589,872222.019866,1.75935,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,180,3.228322,2.181876,0.744429,6.33952e-06,0.000600252,5.01484e-05
qdeim,0.05,7,8,20,180,3.514343,2.015463,0.614733,2.60562e-06,0.000305567,4.3829e-05
gnat,0.05,7,8,20,180,4.907092,1.563990,0.494121,1.96354e-06,0.000423873,4.70248e-05
clssopt,0.05,7,8,20,190,4.116485,1.316281,0.873397,1.44681e-05,0.00322744,0.000275057
clsqdeim,0.05,7,8,20,190,1.841405,1.348532,0.879553,1.46921e-05,0.000956094,5.62639e-05
clsgnat,0.05,7,8,20,190,3019049.114232,777227.256222,,1.94486e+62,5.40865e+77,nan
sopt,0.05,7,8,20,190,2.933429,2.123878,0.769752,6.03538e-06,0.000584246,4.58037e-05
qdeim,0.05,7,8,20,190,3.298288,1.601518,0.620381,2.36498e-06,0.000332866,4.30731e-05
gnat,0.05,7,8,20,190,4.008268,1.318972,0.461055,1.8367e-06,0.000395584,4.94547e-05
clssopt,0.05,7,8,20,200,4.332885,1.435577,0.879709,1.43077e-05,0.00320417,0.000268269
clsqdeim,0.05,7,8,20,200,2.082533,1.434899,0.910147,1.35028e-05,0.000827521,6.27289e-05
clsgnat,0.05,7,8,20,200,3818310.455567,3.094655,4.14161,0.0500529,,5.45421e-05
sopt,0.05,7,8,20,200,3.024685,2.277566,0.769659,6.10074e-06,0.000577081,4.23838e-05
qdeim,0.05,7,8,20,200,3.835859,2.278758,0.611529,2.40809e-06,0.000325425,4.1466e-05
gnat,0.05,7,8,20,200,4.154506,1.695665,0.477714,1.56761e-06,0.000444816,5.10959e-05
clssopt,0.05,7,14,33,10,9.823496,4.264348,,0.0248071,5.24475,1.01412
clsqdeim,0.05,7,14,33,10,9.951011,4.172884,,0.0184154,6.13415,1.0934
clsgnat,0.05,7,14,33,10,24017943.384980,36057811.951465,0.59887,0.0500529,,
sopt,0.05,7,14,33,10,16.122239,6.525746,0.332155,6.54369e-05,0.00721673,0.000851634
qdeim,0.05,7,14,33,10,40.152379,9.803022,0.334636,1.2294e-05,0.0021465,0.000279973
gnat,0.05,7,14,33,10,12.551922,5.479278,,0.0043957,2.63562,0.283407
clssopt,0.05,7,14,33,20,6.459503,3.396469,0.483355,3.60297e-05,0.00817759,0.000811432
clsqdeim,0.05,7,14,33,20,7.248181,3.436972,0.527871,5.69822e-05,0.0319707,0.00605594
clsgnat,0.05,7,14,33,20,18673456.164326,24686443.228787,,1.58351e+09,1.4705e+25,4.07288e+49
sopt,0.05,7,14,33,20,9.599729,6.133416,0.388743,1.25707e-05,0.00101575,0.00016373
qdeim,0.05,7,14,33,20,18.594864,4.580666,0.408148,3.73822e-06,0.000618561,8.9653e-05
gnat,0.05,7,14,33,20,7.198233,4.273188,,0.00448869,2.72721,0.314748
clssopt,0.05,7,14,33,30,5.485234,2.404656,1.78893,0.00013195,0.107464,0.0323014
clsqdeim,0.05,7,14,33,30,4.550899,4.016883,,0.00578621,3.13012,0.658827
clsgnat,0.05,7,14,33,30,8730965.216088,8954233.037251,0.832356,0.0500529,,
sopt,0.05,7,14,33,30,7.480319,4.884479,0.421145,1.10278e-05,0.000595203,7.78411e-05
qdeim,0.05,7,14,33,30,16.296526,4.287890,0.440656,2.33726e-06,0.000417903,5.50624e-05
gnat,0.05,7,14,33,30,9.426200,2.975739,,0.00464333,2.42356,0.277218
clssopt,0.05,7,14,33,40,4.551555,2.518448,0.581587,1.43607e-06,0.000606759,4.14543e-05
clsqdeim,0.05,7,14,33,40,3.899917,2.550287,,0.00641975,1.60009,0.289129
clsgnat,0.05,7,14,33,40,6433925.152746,7342619.726855,0.988112,0.0500529,,
sopt,0.05,7,14,33,40,5.653864,4.232570,0.474787,1.43504e-05,0.000831179,0.000109426
qdeim,0.05,7,14,33,40,10.746366,4.222492,0.478377,4.44692e-06,0.00058779,8.55849e-05
gnat,0.05,7,14,33,40,5.556753,2.649099,,0.00452158,2.47286,0.281567
clssopt,0.05,7,14,33,50,4.020323,2.631439,,0.0118611,26493.5,4.38193e+08
clsqdeim,0.05,7,14,33,50,3.586770,2.440984,,0.0137136,1.72687,0.390744
clsgnat,0.05,7,14,33,50,4506119.581604,5329561.273393,2.92996,0.0500529,,
sopt,0.05,7,14,33,50,5.836078,3.634622,0.491743,1.3188e-05,0.000800555,8.709e-05
qdeim,0.05,7,14,33,50,9.754135,3.869490,0.518047,3.37101e-06,0.000458567,6.12156e-05
gnat,0.05,7,14,33,50,5.232728,3.308963,0.365909,0.000195495,0.0476773,0.00448562
clssopt,0.05,7,14,33,60,3.437886,1.974174,,0.00580019,24306.8,4.44347e+08
clsqdeim,0.05,7,14,33,60,3.668088,2.169892,,0.0091617,1.42824,0.315159
clsgnat,0.05,7,14,33,60,4694253.938060,4618572.238893,2.17672,0.0500529,,
sopt,0.05,7,14,33,60,6.343746,3.305785,0.511276,6.48367e-06,0.000560389,0.000113962
qdeim,0.05,7,14,33,60,9.155493,3.618407,0.540143,2.42594e-06,0.000399515,4.88826e-05
gnat,0.05,7,14,33,60,5.135928,2.547908,0.470868,0.000805567,0.280139,0.0336149
clssopt,0.05,7,14,33,70,3.421487,2.388376,,0.0151976,6.04949e+06,3.38066e+13
