method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,6,6,24,23,10,24.757706,20.812318,0.467497,0.00127634,,
qdeim,0.1,6,6,24,23,10,48.700613,22.548883,0.465516,0.00127634,,
sopt,0.1,6,6,24,23,20,23.980661,24.743769,0.493207,0.00127634,,
qdeim,0.1,6,6,24,23,20,28.074763,17.755958,0.593379,0.00127634,,
sopt,0.1,6,6,24,23,30,15.266612,20.540634,0.47956,0.00127634,,
qdeim,0.1,6,6,24,23,30,22.061814,15.486027,0.436626,1.18333e-05,0.00736354,0.00124748
sopt,0.1,6,6,24,23,40,14.854548,16.203631,0.585341,0.00127634,,
qdeim,0.1,6,6,24,23,40,19.219700,15.732396,0.484688,1.39149e-05,0.00593764,0.000927886
sopt,0.1,6,6,24,23,50,13.867865,16.827746,0.547501,0.00127634,,
qdeim,0.1,6,6,24,23,50,15.335826,15.551018,0.52745,1.52416e-05,0.00678386,0.00106566
sopt,0.1,6,6,24,23,60,13.753624,32.036686,0.650338,0.00127634,,
qdeim,0.1,6,6,24,23,60,13.699816,38.502343,0.572218,1.14101e-05,0.00557629,0.000847894
sopt,0.1,6,6,24,23,70,12.711460,13.792530,0.626357,0.00127634,,
qdeim,0.1,6,6,24,23,70,11.399884,17.145013,0.558803,3.29351e-05,0.0159723,0.00268736
sopt,0.1,6,6,24,23,80,12.009984,18.207493,0.662844,0.00127634,,
qdeim,0.1,6,6,24,23,80,12.061731,233.469459,0.668411,1.28099e-05,0.00617354,0.000934251
sopt,0.1,6,6,24,23,90,11.350924,19.229749,0.78589,0.00127634,,
qdeim,0.1,6,6,24,23,90,13.667057,445.247476,0.701594,1.72527e-05,0.00964573,0.00138549
sopt,0.1,6,6,24,23,100,10.784376,16.950300,0.845214,0.00127634,,
qdeim,0.1,6,6,24,23,100,10.166011,1026.431273,0.729156,2.03746e-05,0.0115598,0.00162312
sopt,0.1,6,6,24,23,110,9.960298,13.714727,0.846611,0.00127634,,
qdeim,0.1,6,6,24,23,110,7.494082,9.607627,0.784412,3.24945e-05,0.0251736,0.00388196
sopt,0.1,6,6,24,23,120,10.846758,59.933266,0.890526,0.00127634,,
qdeim,0.1,6,6,24,23,120,9.738904,1972.132975,0.802944,1.6594e-05,0.0104505,0.00201988
sopt,0.1,6,6,24,23,130,8.940373,13.742324,0.889677,0.00127634,,
qdeim,0.1,6,6,24,23,130,9.822603,9.735346,0.808743,1.62119e-05,0.00992272,0.00186499
sopt,0.1,6,6,24,23,140,8.457497,12.655941,0.999197,0.00127634,,
qdeim,0.1,6,6,24,23,140,10.202497,389.564265,0.808713,1.60052e-05,0.00975094,0.00179396
sopt,0.1,6,6,24,23,150,8.953507,50.845678,1.04335,0.00127634,,
qdeim,0.1,6,6,24,23,150,6.418144,730.783251,0.81061,1.68403e-05,0.0104999,0.00195938
sopt,0.1,6,6,24,23,160,7.870991,17.469042,0.935882,0.00127634,,
qdeim,0.1,6,6,24,23,160,6.537592,507.170018,0.845402,2.06175e-05,0.0175539,0.00292178
sopt,0.1,6,6,24,23,170,7.669325,11.350887,1.04498,0.00127634,,
qdeim,0.1,6,6,24,23,170,8.807067,7.988742,0.843837,1.44541e-05,0.0100725,0.00181701
sopt,0.1,6,6,24,23,180,7.353782,36.701758,1.04231,0.00127634,,
qdeim,0.1,6,6,24,23,180,8.028226,834.832907,0.855029,1.46726e-05,0.00941083,0.0014975
sopt,0.1,6,6,24,23,190,7.511445,9.800913,1.05421,0.00127634,,
qdeim,0.1,6,6,24,23,190,8.943484,6.945538,0.84559,1.18642e-05,0.00760678,0.0011934
sopt,0.1,6,6,24,23,200,7.143201,11.005807,1.07988,0.00127634,,
qdeim,0.1,6,6,24,23,200,7.922876,9.232387,0.860311,1.09491e-05,0.00717782,0.00112885
