method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.01,3,10,22,9,60,4.182479,39.721036,0.12187,1.83613e-06,0.00176381,0.000623727
qdeim,0.01,3,10,22,9,60,9.107052,6.581242,0.107934,1.45392e-06,0.00309481,0.000528694
sopt,0.01,3,10,22,9,70,5.166846,68.107840,0.124975,1.83507e-06,0.00176578,0.000623753
qdeim,0.01,3,10,22,9,70,4.791776,10.218779,0.108933,1.42465e-06,0.00295772,0.000483957
sopt,0.01,3,10,22,9,80,4.381228,69.334902,0.131443,1.8282e-06,0.00175186,0.000624087
qdeim,0.01,3,10,22,9,80,4.708595,11.671776,0.11688,1.48742e-06,0.00314293,0.000512753
sopt,0.01,3,10,22,9,90,4.665539,157.734128,0.14526,1.82784e-06,0.00175044,0.000624057
qdeim,0.01,3,10,22,9,90,8.136753,15.477579,0.124067,1.45346e-06,0.00332938,0.000509848
sopt,0.01,3,10,22,9,100,4.351740,298.578616,0.142727,1.82765e-06,0.00175075,0.00062419
qdeim,0.01,3,10,22,9,100,4.268891,127.949309,0.130255,1.47734e-06,0.00346089,0.000506861
sopt,0.01,4,10,28,12,10,17.647818,26.216787,0.118266,2.18088e-07,0.000128234,1.06372e-05
qdeim,0.01,4,10,28,12,10,12.771916,16.585251,0.100782,1.52033e-07,0.000132589,1.27715e-05
sopt,0.01,4,10,28,12,20,13.224076,19.100312,0.128128,1.94428e-07,0.000119103,8.32867e-06
qdeim,0.01,4,10,28,12,20,14.825799,41.060955,0.127675,8.41102e-08,0.000132149,5.94165e-06
sopt,0.01,4,10,28,12,30,8.487451,15.558276,0.132525,1.96199e-07,0.000115957,8.70993e-06
qdeim,0.01,4,10,28,12,30,9.829229,11.775462,0.123579,7.88917e-08,0.000135053,7.28027e-06
sopt,0.01,4,10,28,12,40,6.487886,17.604335,0.126637,2.06514e-07,0.000117659,9.45848e-06
qdeim,0.01,4,10,28,12,40,10.405102,15.011526,0.123257,1.15141e-07,0.000124318,8.43268e-06
sopt,0.01,4,10,28,12,50,7.218041,16.103916,0.138708,2.19413e-07,0.000118199,1.00356e-05
qdeim,0.01,4,10,28,12,50,6.689915,10.511239,0.125451,1.35154e-07,0.000120749,9.42217e-06
sopt,0.01,4,10,28,12,60,8.480451,14.820507,0.127272,2.25287e-07,0.000118521,1.03872e-05
qdeim,0.01,4,10,28,12,60,15.075814,13.200941,0.125911,1.082e-07,0.000119913,8.45965e-06
sopt,0.01,4,10,28,12,70,6.785763,26.651390,0.132384,2.28041e-07,0.000120725,1.05192e-05
qdeim,0.01,4,10,28,12,70,5.303183,19.052747,0.123474,9.31248e-08,0.000122882,7.80631e-06
sopt,0.01,4,10,28,12,80,12.163221,196.488804,0.130957,2.28762e-07,0.000122454,1.05591e-05
qdeim,0.01,4,10,28,12,80,5.262283,10.642477,0.118922,9.16417e-08,0.000125356,8.04387e-06
sopt,0.01,4,10,28,12,90,11.967861,29.931729,0.15059,2.30193e-07,0.000122587,1.06388e-05
qdeim,0.01,4,10,28,12,90,11.967298,13.103435,0.134265,9.61921e-08,0.00013062,8.43015e-06
sopt,0.01,4,10,28,12,100,9.581323,98.989566,0.142977,2.30138e-07,0.000123359,1.06374e-05
qdeim,0.01,4,10,28,12,100,4.869860,12.939117,0.121418,9.84547e-08,0.000131332,8.72064e-06
sopt,0.01,5,10,29,15,10,53.315167,27.564666,0.125008,4.70176e-08,5.05993e-05,3.07789e-06
qdeim,0.01,5,10,29,15,10,26.403884,19.492621,0.11374,3.7977e-08,5.10673e-05,1.52824e-06
sopt,0.01,5,10,29,15,20,20.340939,15.471657,0.12659,4.6005e-08,4.66024e-05,3.47605e-06
qdeim,0.01,5,10,29,15,20,18.282855,11.902606,0.108572,3.17903e-08,5.11841e-05,1.34958e-06
sopt,0.01,5,10,29,15,30,17.062983,17.599140,0.140027,4.20114e-08,4.65931e-05,2.78655e-06
qdeim,0.01,5,10,29,15,30,21.319774,13.714981,0.118749,4.45901e-08,5.9681e-05,3.206e-06
sopt,0.01,5,10,29,15,40,12.975838,13.992704,0.127442,4.61539e-08,4.92837e-05,2.94781e-06
qdeim,0.01,5,10,29,15,40,13.848664,12.844042,0.116018,5.11973e-08,6.37848e-05,3.64796e-06
sopt,0.01,5,10,29,15,50,12.553006,15.542159,0.131917,4.53024e-08,5.17847e-05,2.77687e-06
qdeim,0.01,5,10,29,15,50,14.994251,9.325772,0.125357,4.3609e-08,6.35581e-05,2.56784e-06
sopt,0.01,5,10,29,15,60,16.422193,18.419219,0.136837,4.66931e-08,5.38522e-05,3.03973e-06
qdeim,0.01,5,10,29,15,60,14.437324,15.049475,0.126002,4.1802e-08,6.83352e-05,2.01101e-06
sopt,0.01,5,10,29,15,70,11.908712,25.358770,0.129146,5.16921e-08,5.58459e-05,3.43552e-06
qdeim,0.01,5,10,29,15,70,9.220468,16.003903,0.12889,3.91297e-08,5.92182e-05,1.86559e-06
sopt,0.01,5,10,29,15,80,15.137604,21.663810,0.13066,5.22362e-08,5.6112e-05,3.49217e-06
qdeim,0.01,5,10,29,15,80,7.585022,14.571524,0.121189,3.92499e-08,5.82439e-05,1.8841e-06
sopt,0.01,5,10,29,15,90,18.505370,27.722353,0.150372,5.26222e-08,5.70656e-05,3.53271e-06
qdeim,0.01,5,10,29,15,90,10.690161,15.556268,0.12593,3.88609e-08,5.29384e-05,1.79294e-06
sopt,0.01,5,10,29,15,100,16.362370,102.242231,0.146484,5.28089e-08,5.72233e-05,3.5488e-06
qdeim,0.01,5,10,29,15,100,6.401170,14.614452,0.12691,3.97561e-08,4.69153e-05,1.75332e-06
