method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,3,0.9999,10,32,72,55,8.058356,5.458220,1.45207,0.000647158,0.366922,0.0427415
sopt,0.1,3,0.9999,10,32,72,55,7.960682,4.608989,,0.0270049,1.73445,0.158567
clssopt,0.1,3,0.9999,10,32,72,60,10.188420,7.349033,1.43977,0.000607908,0.301348,0.0341656
sopt,0.1,3,0.9999,10,32,72,60,9.332125,5.497898,,0.0172765,1.67203,0.205981
clssopt,0.1,3,0.9999,10,32,72,65,7.276046,6.535193,1.45086,0.000361752,0.158703,0.0197688
sopt,0.1,3,0.9999,10,32,72,65,9.056862,4.457616,,0.0108084,1.65756,0.212981
clssopt,0.1,3,0.9999,10,32,72,70,7.544527,5.874828,1.46616,3.61357e-05,0.0180017,0.00226644
sopt,0.1,3,0.9999,10,32,72,70,8.020810,5.006228,,0.0119087,1.60129,0.202469
clssopt,0.1,3,0.9999,10,32,72,75,6.541977,5.228963,1.57185,1.836e-05,0.0138574,0.00181305
sopt,0.1,3,0.9999,10,32,72,75,7.138135,4.881573,,0.00663908,2.10113,0.229244
clssopt,0.1,3,0.9999,10,32,72,80,6.074069,7.880895,1.56028,6.70782e-05,0.0355605,0.00432015
sopt,0.1,3,0.9999,10,32,72,80,6.711273,5.361886,,0.00433257,4.21152,0.309112
clssopt,0.1,3,0.9999,10,32,72,85,6.355591,4.714638,1.58996,0.000179394,0.0488592,0.00685478
sopt,0.1,3,0.9999,10,32,72,85,7.887022,4.359960,,0.00327723,3.80008,0.3833
clssopt,0.1,3,0.9999,10,32,72,90,6.714310,5.968439,1.65605,0.00025047,0.0625131,0.00881081
sopt,0.1,3,0.9999,10,32,72,90,6.054288,4.659835,,0.0026094,3.16652,0.277612
clssopt,0.1,3,0.9999,10,32,72,95,6.459919,5.223604,1.64135,0.000206947,0.0552757,0.00859179
sopt,0.1,3,0.9999,10,32,72,95,7.094307,4.374976,,0.00272244,3.23136,0.310055
clssopt,0.1,3,0.9999,10,32,72,100,6.511326,6.092831,1.71244,0.000162297,0.0417949,0.00629435
sopt,0.1,3,0.9999,10,32,72,100,6.698825,4.197572,,0.0029123,3.20675,0.324789
clsqdeim,0.1,3,0.9999,10,32,72,5,107.377390,11.500163,,0.0673496,4.27888,1.53496
qdeim,0.1,3,0.9999,10,32,72,5,63.481037,22.178504,,0.0584526,9.0546,1.97554
clsqdeim,0.1,3,0.9999,10,32,72,10,42.308515,16.040090,,0.0668434,8.86841,3.81388
qdeim,0.1,3,0.9999,10,32,72,10,41.507119,16.073744,,0.0555346,10.4846,2.13361
clsqdeim,0.1,3,0.9999,10,32,72,15,36.709279,8.505376,,0.0653829,9.03829,4.70893
qdeim,0.1,3,0.9999,10,32,72,15,24.644292,8.387831,,0.0562009,5.91423,2.20722
clsqdeim,0.1,3,0.9999,10,32,72,20,36.542068,27.496890,,0.0615159,3.06727,0.572208
qdeim,0.1,3,0.9999,10,32,72,20,23.995097,12.400983,,0.0390042,6.73639,1.77704
clsqdeim,0.1,3,0.9999,10,32,72,25,42.761046,5.737736,,0.0575353,2.20158,0.268559
qdeim,0.1,3,0.9999,10,32,72,25,19.133390,7.506407,,0.0532443,3.42781,4.51879
clsqdeim,0.1,3,0.9999,10,32,72,30,35.184808,8.338562,,0.0571749,4.03249,0.439302
qdeim,0.1,3,0.9999,10,32,72,30,22.286343,8.765254,,0.0522807,2.90784,0.600935
clsqdeim,0.1,3,0.9999,10,32,72,35,28.457800,5.050842,,0.0584276,4.49718,0.576638
qdeim,0.1,3,0.9999,10,32,72,35,22.571066,6.786536,,0.0472687,1.98273,0.294925
clsqdeim,0.1,3,0.9999,10,32,72,40,25.818349,18.949813,,0.0566251,4.09177,0.590322
qdeim,0.1,3,0.9999,10,32,72,40,23.552119,7.050573,,0.0424901,3.10095,0.357476
clsqdeim,0.1,3,0.9999,10,32,72,45,24.544554,3.676557,,0.0465885,8.03019,1.84457
qdeim,0.1,3,0.9999,10,32,72,45,26.658410,5.795260,,0.0379762,11.0199,2.71036
clsqdeim,0.1,3,0.9999,10,32,72,50,21.773158,6.450664,,0.0436675,7.05857,9.6929
qdeim,0.1,3,0.9999,10,32,72,50,17.954616,6.440500,,0.0346009,2.54723,0.364951
