method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,5,0.999999,10,73,110,90,8.773150,7.087195,2.34422,0.0206465,0.408518,6.62954e-05
sopt,0.1,5,0.999999,10,73,110,90,8.425018,6.215623,2.12929,0.0206466,0.408518,6.63292e-05
clssopt,0.1,5,0.999999,10,73,110,95,8.483163,7.518606,2.347,0.0206464,0.408517,6.6297e-05
sopt,0.1,5,0.999999,10,73,110,95,7.645577,5.879840,2.2294,0.0206466,0.408518,6.63309e-05
clssopt,0.1,5,0.999999,10,73,110,100,7.688506,6.203932,2.4029,0.0206465,0.408517,6.62955e-05
sopt,0.1,5,0.999999,10,73,110,100,7.274418,6.569216,2.25388,0.020647,0.408518,6.6328e-05
clssopt,0.1,6,0.9999999,10,91,127,5,96.303993,54.179547,1.82249,0.0206459,0.40851,6.62666e-05
sopt,0.1,6,0.9999999,10,91,127,5,84.303823,70.255651,1.55768,0.0206459,0.408495,6.63813e-05
clssopt,0.1,6,0.9999999,10,91,127,10,48.174768,42.651405,1.86897,0.0206458,0.408506,6.63109e-05
sopt,0.1,6,0.9999999,10,91,127,10,38.062297,29.858441,1.66436,0.0206463,0.408506,6.6409e-05
clssopt,0.1,6,0.9999999,10,91,127,15,36.779577,26.598554,1.94738,0.0206459,0.408506,6.626e-05
sopt,0.1,6,0.9999999,10,91,127,15,33.766048,22.124150,1.68479,0.0206465,0.408517,6.63455e-05
clssopt,0.1,6,0.9999999,10,91,127,20,33.160474,30.367709,2.05444,0.0206462,0.408513,6.62659e-05
sopt,0.1,6,0.9999999,10,91,127,20,25.469772,20.438827,1.76424,0.0206465,0.408515,6.6325e-05
clssopt,0.1,6,0.9999999,10,91,127,25,23.506332,19.189918,2.14737,0.0206462,0.408512,6.62782e-05
sopt,0.1,6,0.9999999,10,91,127,25,21.681637,19.433839,1.79662,0.0206464,0.408512,6.63501e-05
clssopt,0.1,6,0.9999999,10,91,127,30,25.664930,19.467910,2.16692,0.0206461,0.408511,6.62848e-05
