method,window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,30,6,6,1.18016,2.19e+00,5.31294e-05,0.0185411,0.00316043
qdeim,0.1,30,6,6,1.07866,2.12e+00,1.14629e-06,2.21332e-05,2.07483e-05
clsqdeim,0.1,30,6,6,1.16883,2.14e+00,7.1306e-05,0.00335311,0.000499014
sopt,0.1,30,6,7,0.990192,2.04e+00,0.000187355,0.0156469,0.00315191
clssopt,0.1,30,6,7,1.23988,2.34e+00,3.2138e-05,0.0094878,0.00173954
qdeim,0.1,30,6,7,1.12286,2.36e+00,1.44202e-06,5.44734e-05,2.1998e-05
clsqdeim,0.1,30,6,7,1.07763,2.14e+00,4.31565e-05,0.00267509,0.00036108
sopt,0.1,30,6,8,1.168,2.47e+00,0.000141752,0.00753701,0.00102378
clssopt,0.1,30,6,8,1.19321,2.16e+00,2.65252e-05,0.010249,0.00174066
qdeim,0.1,30,6,8,1.11122,2.24e+00,5.63487e-07,0.000160993,2.54841e-05
clsqdeim,0.1,30,6,8,1.16802,2.76e+00,3.70349e-06,0.000234333,6.92159e-05
sopt,0.1,30,6,9,1.1318,2.16e+00,3.43416e-06,0.00466645,0.000192937
clssopt,0.1,30,6,9,1.20022,2.12e+00,2.09113e-05,0.0064991,0.00116229
qdeim,0.1,30,6,9,1.34554,2.61e+00,1.48631e-06,5.86145e-05,9.65689e-06
clsqdeim,0.1,30,6,9,1.18662,2.17e+00,2.94658e-06,0.000324719,7.559e-05
sopt,0.1,30,6,10,1.16926,2.19e+00,1.80359e-05,0.00440456,0.000143301
clssopt,0.1,30,6,10,1.68714,2.44e+00,1.27615e-05,0.00426726,0.000740907
qdeim,0.1,30,6,10,0.954691,2.08e+00,1.55202e-06,6.12007e-05,9.5072e-06
clsqdeim,0.1,30,6,10,1.15202,2.07e+00,4.40309e-06,0.000716666,9.90214e-05
sopt,0.1,40,5,1,0.826992,1.99e+00,2.14435e-06,0.00285658,0.000228426
clssopt,0.1,40,5,1,1.04801,2.06e+00,0.00163701,0.122438,0.0183489
qdeim,0.1,40,5,1,0.852433,2.35e+00,5.92616e-05,0.00168229,0.000311066
clsqdeim,0.1,40,5,1,1.08851,2.02e+00,1.64682e-05,0.00203185,0.000383507
sopt,0.1,40,5,2,0.963875,2.17e+00,6.69642e-06,0.00175305,0.000123758
clssopt,0.1,40,5,2,1.22291,2.06e+00,0.00528787,0.270758,0.0398113
qdeim,0.1,40,5,2,1.11166,2.56e+00,5.76119e-05,0.00176321,0.000341116
clsqdeim,0.1,40,5,2,0.995603,1.99e+00,1.49209e-05,0.00245738,0.000423275
sopt,0.1,40,5,3,1.01573,2.04e+00,8.54964e-06,0.000920159,7.15806e-05
clssopt,0.1,40,5,3,1.01352,2.03e+00,0.00431576,0.290082,0.0317697
qdeim,0.1,40,5,3,0.9412,2.21e+00,6.17997e-05,0.00178754,0.000349063
clsqdeim,0.1,40,5,3,0.95707,2.17e+00,1.31179e-05,0.00197556,0.000332525
sopt,0.1,40,5,4,1.00169,2.05e+00,1.045e-05,0.000966401,8.0354e-05
clssopt,0.1,40,5,4,1.25636,2.30e+00,0.000887522,0.0716656,0.00880067
qdeim,0.1,40,5,4,1.00037,2.09e+00,3.60485e-05,0.00136141,0.000197839
clsqdeim,0.1,40,5,4,1.01508,1.99e+00,9.16102e-06,0.00157685,0.000243158
sopt,0.1,40,5,5,0.856291,2.54e+00,7.81646e-06,0.000543399,4.75994e-05
clssopt,0.1,40,5,5,1.09758,2.12e+00,0.000754105,0.0551956,0.00663634
qdeim,0.1,40,5,5,0.822931,1.94e+00,3.27673e-05,0.00163908,0.000182396
clsqdeim,0.1,40,5,5,1.06172,2.07e+00,8.07981e-06,0.0012875,0.000206874
sopt,0.1,40,5,6,1.30446,2.06e+00,1.19828e-05,0.000278916,3.95283e-05
clssopt,0.1,40,5,6,1.10952,2.05e+00,5.0513e-06,0.000280466,7.10824e-05
qdeim,0.1,40,5,6,0.948813,2.31e+00,3.04881e-05,0.00168845,0.000169331
clsqdeim,0.1,40,5,6,1.0965,2.03e+00,6.17644e-06,0.000965616,0.000151507
sopt,0.1,40,5,7,1.02507,2.02e+00,4.90227e-06,3.74482e-05,1.40912e-05
clssopt,0.1,40,5,7,1.07099,2.09e+00,3.74662e-06,4.99667e-05,4.50411e-05
qdeim,0.1,40,5,7,0.862524,2.07e+00,2.06412e-05,0.00128045,0.000138062
clsqdeim,0.1,40,5,7,1.9111,2.03e+00,4.41301e-06,0.000677007,8.34015e-05
sopt,0.1,40,5,8,2.60701,2.13e+00,5.22256e-06,8.09626e-05,1.85576e-05
clssopt,0.1,40,5,8,1.22349,2.29e+00,3.28412e-06,0.000124088,2.41068e-05
qdeim,0.1,40,5,8,1.03541,2.40e+00,1.52036e-05,0.00106127,0.000107006
